영화명,개봉일,스크린수,상영횟수,순위,관객수,최종관객
노 머시: 90분,2026-02-04,538,1413,5,10152,98458
아이엠스타!X프리파라 더 무비 -만남의 기적!-,2026-02-04,118,160,6,7064,75777
스트레이 키즈 : 더 도미네이트 익스피리언스,2026-02-04,103,184,9,3029,16881
극장판 엉덩이 탐정: 스타 앤드 문,2026-02-07,247,492,6,10039,46280
휴민트,2026-02-11,1520,6291,1,116740,1979498
넘버원,2026-02-11,647,1723,3,17231,278409
폭풍의 언덕,2026-02-11,428,816,4,10479,57770
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지생물 구조작전,2026-02-12,141,169,10,1463,21127
귀신 부르는 앱: 영,2026-02-18,176,357,5,18263,91031
점보,2026-02-18,355,453,6,12648,45106
초속 5센티미터,2026-02-25,568,1257,3,17947,87040
너자 2,2026-02-25,277,584,4,6936,59179
햄넷,2026-02-25,381,495,5,5633,56231
슬라이드 스트럼 뮤트,2026-02-26,117,126,8,3119,9942
28년 후: 뼈의 사원,2026-02-27,467,807,4,6209,29175
엔하이픈 [워크 더 라인 썸머 에디션] 인 시네마,2026-02-27,61,117,8,2897,2897
호퍼스,2026-03-04,788,2320,2,17155,754046
브라이드!,2026-03-04,399,676,3,7478,22455
매드 댄스 오피스,2026-03-04,484,885,5,5420,45429
우리는 매일매일,2026-03-04,142,168,6,2523,11794
다이 마이 러브,2026-03-04,115,212,8,2164,3683
삼악도,2026-03-11,225,819,3,11184,92271
아르코,2026-03-11,233,285,7,2528,15533
프로젝트 헤일메리,2026-03-18,1331,4086,2,76003,2896776
메소드연기,2026-03-18,519,779,3,8268,59984
폭탄,2026-03-18,175,312,5,3783,23192
녹나무의 파수꾼,2026-03-18,305,469,8,1548,8133
프로텍터,2026-03-25,413,595,6,5409,22785
연지구 디 오리지널 4K,2026-03-25,130,175,10,1402,8624
명탐정 코난: 세기말의 마술사,2026-03-27,238,727,3,17357,92744
펫 트레인,2026-03-28,182,324,7,6012,18567
네가 마지막으로 남긴 노래,2026-04-01,560,1408,3,11414,78787
킬 빌: 더 홀 블러디 어페어,2026-04-01,88,119,6,2923,13170
끝장수사,2026-04-02,648,1563,3,13957,85189
오피셜히게단디즘 라이브 앳 스타디움 2025,2026-04-02,58,84,7,3178,4619
살목지,2026-04-08,1191,3873,1,89911,3232830
위 리브 인 타임,2026-04-08,220,437,4,5337,28430
크라임 101,2026-04-08,208,436,5,3513,17746
런닝맨: 라이트&쉐도우,2026-04-11,196,345,4,6701,13055
내 이름은,2026-04-15,667,1594,4,17069,206709
쉘터,2026-04-15,174,298,6,3789,17896
힌드의 목소리,2026-04-15,116,145,10,1742,12346
"극장판 총집편 걸즈 밴드 크라이 있잖아, 미래.",2026-04-16,100,136,6,2920,2920
고트: 더 레전드,2026-04-17,339,423,6,2472,30056
노멀,2026-04-17,129,246,7,2366,15602
란 12.3,2026-04-22,842,2156,2,37037,234543
짱구,2026-04-22,693,1672,3,26848,407791
리 크로닌의 미이라,2026-04-22,368,610,7,6378,33691
기동전사 건담: 섬광의 하사웨이 키르케의 마녀,2026-04-22,90,149,8,5076,41274
르누아르,2026-04-22,127,239,9,3468,13670
줄무늬 파자마를 입은 소년,2026-04-23,153,213,8,3270,3604
악마는 프라다를 입는다 2,2026-04-29,1578,6165,1,150767,1590297
슈퍼 마리오 갤럭시,2026-04-29,1166,4173,2,60433,1630535
사랑의 하츄핑 특별판,2026-05-01,295,352,9,3321,12323
모탈 컴뱃 2,2026-05-06,365,592,7,2543,14433
올 그린스,2026-05-06,133,201,9,2194,7695
마이클,2026-05-13,1734,6157,1,99902,1557440
교생실습,2026-05-13,253,394,7,3707,22022
신극장판 은혼: 요시와라 대염상,2026-05-20,440,901,4,11687,70387
너바나 더 밴드 : 전설적 밴드 ‘너바나’와는 별 관련 없는 ‘너바나 더 밴드’의 콤비 맷과 제이. 어느 날 공연을 위해 타임머신을 만드는 황당한 작전을 세우고 처음 만났던 17년 전으로 돌,2026-05-20,155,273,8,3635,62570
군체,2026-05-21,1964,8116,1,199754,4871161
극장판 내 마음의 위험한 녀석,2026-05-21,115,205,5,3895,15740
극장판 호빵맨: 세균맨과 그림책의 루룬,2026-05-23,221,372,7,6708,30336
백룸,2026-05-27,688,1609,2,54104,851365
만달로리안과 그로구,2026-05-27,809,2103,4,26242,197960
뒷자리에 태워줘,2026-05-27,155,201,8,2045,15323
미세스 그린 애플 매지컬 10주년 기념 라이브 ~피오르드~ 온 스크린,2026-05-27,21,21,10,1279,1279
카드캡터 체리 극장판,2026-05-28,162,238,6,4456,4456
이상한 과자 가게 전천당,2026-05-29,485,738,5,6683,138737
와일드 씽,2026-06-03,1350,5469,2,160748,637946
플레이브 아시아 투어 [대쉬: 퀀텀 리프] 앙코르 인 시네마,2026-06-03,62,112,7,11499,28218
돌핀보이: 푸른 바다의 수호자,2026-06-03,222,242,9,5419,13617
마스터즈 오브 유니버스,2026-06-05,214,281,5,4615,12968
디스클로저 데이,2026-06-10,1072,2961,1,56079,56926
상자 속의 양,2026-06-10,456,745,5,8751,20229
