선수명,팀,포지션,생년월일,키cm,몸무게kg
배찬승,삼성,투수,2006-01-01,180,85
백정현,삼성,투수,1987-07-13,184,80
보스,삼성,투수,1992-06-26,188,97
사토시,삼성,투수,1998-05-28,193,93
서현원,삼성,투수,2004-02-28,187,78
석예헌,삼성,투수,2004-03-24,190,96
신윤호,삼성,투수,2004-09-08,183,85
신정환,삼성,투수,2003-04-28,188,83
심재훈,삼성,내야수,2006-03-03,180,80
안민성,삼성,포수,2003-03-20,184,92
양우현,삼성,내야수,2000-04-13,175,82
양창섭,삼성,투수,1999-09-22,182,85
양현,삼성,투수,1992-08-23,189,104
어윤성,삼성,투수,2005-03-12,183,85
오러클린,삼성,투수,2000-03-14,196,101
우승완,삼성,투수,2005-09-06,186,90
원태인,삼성,투수,2000-04-06,183,92
육선엽,삼성,투수,2005-07-13,190,90
윤정빈,삼성,외야수,1999-06-24,182,93
이병헌,삼성,포수,1999-10-26,180,87
이서준,삼성,포수,2007-06-25,185,95
이성규,삼성,외야수,1993-08-03,178,82
이승민,삼성,투수,2000-08-26,174,79
이승현,삼성,투수,1991-11-20,181,92
이재익,삼성,투수,1994-03-18,180,76
이재현,삼성,내야수,2003-02-04,180,82
이재희,삼성,투수,2001-10-11,187,88
이진용,삼성,외야수,2006-06-30,183,80
이창용,삼성,내야수,1999-06-03,184,89
이한민,삼성,내야수,2002-06-04,185,87
이해승,삼성,내야수,2000-08-01,180,86
이호범,삼성,투수,2007-05-29,190,95
이호성,삼성,투수,2004-08-14,184,87
임기영,삼성,투수,1993-04-16,184,86
임주찬,삼성,내야수,2003-10-07,183,83
장승현,삼성,포수,1994-03-07,184,86
장찬희,삼성,투수,2007-10-05,186,80
전병우,삼성,내야수,1992-10-24,182,93
정민성,삼성,투수,2005-05-09,184,98
정재훈,삼성,투수,2007-03-08,185,85
조민성,삼성,내야수,2003-10-22,181,88
조세익,삼성,외야수,2005-10-07,184,83
진희성,삼성,투수,2006-05-18,179,90
차동영,삼성,포수,2002-11-01,181,82
차승준,삼성,내야수,2006-11-20,181,88
천겸,삼성,투수,2006-01-25,179,88
최예한,삼성,투수,2002-06-02,183,90
최원태,삼성,투수,1997-01-07,184,104
최지광,삼성,투수,1998-03-13,173,85
최하늘,삼성,투수,1999-03-26,190,99
최형우,삼성,외야수,1983-12-16,180,106
페덱,삼성,투수,1996-01-08,196,98
한수동,삼성,투수,2007-08-13,183,93
함수호,삼성,외야수,2006-03-10,181,88
허윤동,삼성,투수,2001-06-19,181,90
홍무원,삼성,투수,2002-01-11,188,92
홍승원,삼성,투수,2001-12-06,185,95
강이준,KIA,투수,1998-04-07,190,86
강효종,KIA,투수,2002-10-14,182,84
고종욱,KIA,외야수,1989-01-11,184,83
곽도규,KIA,투수,2004-04-12,185,90
곽동효,KIA,외야수,2002-12-22,180,83
권다결,KIA,포수,2002-01-23,187,94
김건국,KIA,투수,1988-02-02,183,86
김경묵,KIA,투수,1999-05-07,183,88
김규성,KIA,내야수,1997-03-08,185,88
김기훈,KIA,투수,2000-01-03,184,93
김대유,KIA,투수,1991-05-08,187,92
김도영,KIA,내야수,2003-10-02,183,85
김도현,KIA,투수,2000-09-15,183,87
김민규,KIA,외야수,2007-01-26,180,73
김민수,KIA,외야수,2000-04-05,186,87
김범수,KIA,투수,1995-10-03,181,92
김사윤,KIA,투수,1994-06-08,182,90
김상범,KIA,투수,2002-10-28,190,100
김석환,KIA,외야수,1999-02-28,187,97
김선빈,KIA,내야수,1989-12-18,165,77
김선우,KIA,포수,2001-01-18,178,90
김세일,KIA,투수,2003-03-02,188,91
김시훈,KIA,투수,1999-02-24,188,95
김양수,KIA,투수,2001-01-23,184,90
김재현,KIA,내야수,2000-12-02,176,81
김정엽,KIA,투수,2006-04-18,185,96
김찬민,KIA,투수,2003-09-13,184,85
김태군,KIA,포수,1989-12-30,182,92
김태윤,KIA,투수,2004-10-07,180,94
김태형,KIA,투수,2006-12-15,184,95
김현수,KIA,투수,2000-07-10,185,90
김호령,KIA,외야수,1992-04-30,178,85
나성범,KIA,외야수,1989-10-03,183,100
나연우,KIA,투수,2006-07-24,184,90
네일,KIA,투수,1993-02-08,193,83
데일,KIA,내야수,2000-09-11,188,90
박민,KIA,내야수,2001-06-05,184,84
박상준,KIA,내야수,2001-08-21,178,104
박재현,KIA,외야수,2006-12-08,180,73
박정우,KIA,외야수,1998-02-01,175,68
박종혁,KIA,내야수,2007-10-05,190,88
박헌,KIA,외야수,2006-01-05,185,90
변우혁,KIA,내야수,2000-03-18,185,100
성영탁,KIA,투수,2004-07-28,180,89
송호정,KIA,내야수,2002-03-10,185,78
시라카와,KIA,투수,2001-06-04,180,88
신명승,KIA,포수,2002-11-02,183,94
아데를린,KIA,내야수,1991-11-18,191,108
양현종,KIA,투수,1988-03-01,183,91
엄준현,KIA,내야수,2006-04-20,174,75
오규석,KIA,투수,2001-12-04,187,97
오선우,KIA,내야수,1996-12-13,186,95
오정환,KIA,내야수,1999-03-27,185,85
올러,KIA,투수,1994-10-17,193,102
유승철,KIA,투수,1998-03-02,184,87
유지성,KIA,투수,2000-11-15,189,94
윤도현,KIA,내야수,2003-05-07,181,84
윤영철,KIA,투수,2004-04-20,187,87
윤중현,KIA,투수,1995-04-25,180,84
이도현,KIA,투수,2005-01-07,188,90
이도훈,KIA,포수,2007-01-06,179,88
이성원,KIA,투수,2006-05-18,184,90
이송찬,KIA,투수,2004-08-08,187,85
이승재,KIA,투수,2000-10-04,182,82
이영재,KIA,외야수,2002-01-11,185,95
이의리,KIA,투수,2002-06-16,185,90
이준범,KIA,내야수,2002-07-16,184,85
이준영,KIA,투수,1992-08-10,177,85
이창진,KIA,외야수,1991-03-04,173,85
이태양,KIA,투수,1990-07-03,192,97
이호연,KIA,내야수,1995-06-03,177,87
이호진,KIA,투수,2003-10-22,187,94
장민기,KIA,투수,2001-12-30,182,88
장시현,KIA,내야수,2001-12-21,178,75
장재혁,KIA,투수,2001-08-02,180,86
전상현,KIA,투수,1996-04-18,180,88
정다훈,KIA,투수,2003-01-25,181,89
정찬화,KIA,투수,2006-06-10,183,90
정해영,KIA,투수,2001-08-23,189,98
정해원,KIA,외야수,2004-05-21,185,87
정현창,KIA,내야수,2006-07-14,177,70
조건호,KIA,투수,2002-05-09,182,87
조상우,KIA,투수,1994-09-04,186,97
주효상,KIA,포수,1997-11-11,183,95
지현,KIA,투수,2007-07-13,180,86
차상현,KIA,내야수,2003-01-26,175,77
천정민,KIA,외야수,2002-09-26,182,77
최건희,KIA,투수,2002-07-09,183,70
최유찬,KIA,투수,2007-12-03,187,90
최정용,KIA,내야수,1996-10-24,179,84
최지민,KIA,투수,2003-09-10,185,100
최지웅,KIA,투수,2004-05-14,184,96
카스트로,KIA,외야수,1993-11-30,183,88
하주석,KIA,내야수,1994-02-25,185,92
한승연,KIA,외야수,2003-06-09,183,92
한재승,KIA,투수,2001-11-21,180,90
한준수,KIA,포수,1999-02-13,184,95
한준희,KIA,내야수,2007-07-01,183,80
홍건희,KIA,투수,1992-09-29,187,97
강민균,LG,내야수,2000-07-17,178,81
강민기,LG,포수,2007-09-14,184,95
강석현,LG,투수,2005-05-17,185,90
곽민호,LG,내야수,2004-12-23,184,90
구본혁,LG,내야수,1997-01-11,177,75
권동혁,LG,외야수,2003-03-20,194,97
권우준,LG,투수,2007-01-08,187,92
김강률,LG,투수,1988-08-28,187,95
김대원,LG,내야수,2001-11-07,172,70
김대현,LG,투수,1997-03-08,188,100
김동현,LG,투수,2005-03-03,190,96
김민수,LG,포수,1991-03-02,177,80
김성진,LG,내야수,2000-03-17,183,100
김영우,LG,투수,2005-01-14,185,90
김유영,LG,투수,1994-05-02,180,83
김윤식,LG,투수,2000-04-03,181,83
김정율,LG,내야수,1998-03-18,184,97
김종우,LG,투수,2005-02-07,187,90
김주성,LG,외야수,1998-01-30,180,81
김주온,LG,투수,1996-12-08,187,89
김준태,LG,포수,1994-07-31,175,91
김지용,LG,투수,2002-10-07,180,75
김진성,LG,투수,1985-03-07,186,90
김진수,LG,투수,1998-08-31,179,82
김현종,LG,외야수,2004-08-04,186,85
리오스,LG,투수,1993-06-27,190,97
문보경,LG,내야수,2000-07-19,182,88
문성주,LG,외야수,1997-02-20,175,78
문정빈,LG,내야수,2003-08-15,186,90
박동원,LG,포수,1990-04-07,178,92
박성진,LG,투수,2007-10-11,193,95
박시원,LG,투수,2006-04-12,193,93
박준기,LG,포수,2004-07-21,179,90
박준성,LG,투수,2007-12-12,184,98
박해민,LG,외야수,1990-02-24,180,75
박현우,LG,외야수,2005-02-20,183,90
배강,LG,포수,2005-11-04,185,95
배재준,LG,투수,1994-11-24,188,85
백승현,LG,투수,1995-05-26,183,90
서영준,LG,외야수,2006-03-18,186,90
성동현,LG,투수,1999-05-18,189,108
성준서,LG,투수,2006-04-09,190,96
손용준,LG,내야수,2000-02-15,178,85
손주영,LG,투수,1998-12-02,191,95
송대현,LG,내야수,2000-02-03,180,82
송승기,LG,투수,2002-04-10,181,90
송찬의,LG,외야수,1999-02-20,182,80
신민재,LG,내야수,1996-01-21,171,67
심기정,LG,포수,2001-02-01,186,88
안이도,LG,투수,2006-05-02,190,84
양우진,LG,투수,2007-06-05,190,98
양진혁,LG,투수,2003-06-20,190,90
엄태경,LG,외야수,2003-05-03,184,83
오스틴,LG,내야수,1993-10-14,183,97
오승윤,LG,투수,2001-06-25,178,84
오지환,LG,내야수,1990-03-12,185,80
우강훈,LG,투수,2002-10-03,183,88
우명현,LG,투수,2007-02-07,190,102
우정안,LG,내야수,2006-01-03,181,79
원상훈,LG,투수,2004-10-23,192,95
웰스,LG,투수,1997-02-27,185,83
유영찬,LG,투수,1997-03-07,185,90
윤형민,LG,투수,2007-10-15,184,90
이민호,LG,투수,2001-08-30,189,93
이믿음,LG,투수,2000-07-18,188,80
이상영,LG,투수,2000-12-03,193,95
이영빈,LG,내야수,2002-06-17,182,82
이우찬,LG,투수,1992-08-04,185,97
이재원,LG,외야수,1999-07-17,192,105
이정용,LG,투수,1996-03-26,186,85
이정준,LG,,1977-06-18,,
이종준,LG,투수,2001-03-09,191,93
이주헌,LG,포수,2003-03-04,185,92
이준서,LG,외야수,2004-11-18,187,85
이지강,LG,투수,1999-07-02,183,85
이지백,LG,내야수,2006-07-04,183,87
이태훈,LG,내야수,2006-08-21,183,83
이한림,LG,포수,2006-11-18,182,92
임정균,LG,투수,2004-05-10,190,92
임찬규,LG,투수,1992-11-20,185,80
장시환,LG,투수,1987-11-01,184,97
장현식,LG,투수,1995-02-24,181,91
전경원,LG,포수,1999-03-18,184,95
정우영,LG,투수,1999-08-19,193,99
조건희,LG,투수,2002-03-26,184,84
조원태,LG,투수,2003-05-10,186,92
주정환,LG,내야수,2004-05-27,180,70
진우영,LG,투수,2001-02-05,188,97
천성호,LG,내야수,1997-10-30,183,85
최명경,LG,외야수,2001-06-14,177,80
최원영,LG,외야수,2003-07-18,174,76
최지명,LG,투수,1995-01-22,186,97
추세현,LG,내야수,2006-04-19,187,90
치리노스,LG,투수,1993-12-26,188,102
카라스코,LG,투수,1987-03-21,193,102
케네디,LG,투수,1994-09-20,203,111
톨허스트,LG,투수,1999-09-13,193,86
하현규,LG,투수,2001-02-28,182,80
함덕주,LG,투수,1995-01-13,181,78
함창건,LG,외야수,2001-08-18,176,83
강승호,두산,내야수,1994-02-09,178,88
강태완,두산,외야수,2004-09-17,186,88
곽빈,두산,투수,1999-05-28,187,95
김기연,두산,포수,1997-09-07,178,106
김대한,두산,외야수,2000-12-06,185,83
김동주,두산,투수,2002-02-14,190,90
김동준,두산,내야수,2002-09-04,193,100
김명신,두산,투수,1993-11-29,178,90
김문수,두산,외야수,2004-03-29,188,94
김민규,두산,투수,1999-05-07,183,90
김민석,두산,외야수,2004-05-09,185,83
김민혁,두산,내야수,1996-05-03,188,100
김성재,두산,포수,2006-05-16,182,98
김영현,두산,투수,2002-08-18,177,83
김유성,두산,투수,2002-01-01,190,98
김인태,두산,외야수,1994-07-03,178,78
김정우,두산,투수,1999-05-15,183,87
김주오,두산,외야수,2007-09-14,178,95
김준상,두산,내야수,2004-08-02,184,75
김지윤,두산,투수,2004-01-13,183,84
김택연,두산,투수,2005-06-03,181,88
김한중,두산,투수,2004-11-03,183,89
김호준,두산,투수,1998-05-17,180,82
남태웅,두산,내야수,2007-01-08,175,78
류승민,두산,외야수,2004-10-11,185,90
류현준,두산,포수,2005-03-25,182,92
박강민,두산,투수,1997-11-12,192,103
박민준,두산,포수,2002-10-21,183,95
박성재,두산,내야수,2002-11-18,186,98
박신지,두산,투수,1999-07-16,185,75
박정수,두산,투수,1996-01-29,178,74
박준순,두산,내야수,2006-07-13,180,80
박지훈,두산,내야수,2000-09-07,183,80
박찬호,두산,내야수,1995-06-05,178,72
박치국,두산,투수,1998-03-10,177,78
백승우,두산,투수,2000-01-04,183,95
벤자민,두산,투수,1993-07-26,188,95
서준오,두산,투수,2005-03-05,178,83
세베리노,두산,내야수,1999-10-03,183,85
손아섭,두산,외야수,1988-03-18,174,84
신민철,두산,내야수,2003-01-13,185,90
신우열,두산,외야수,2001-12-30,182,100
심건보,두산,내야수,2003-11-17,183,85
안민겸,두산,투수,2004-05-17,181,81
안재석,두산,내야수,2002-02-15,185,75
안치호,두산,투수,2004-11-30,191,101
양석환,두산,내야수,1991-07-15,185,90
양의지,두산,포수,1987-06-05,180,95
양재훈,두산,투수,2003-05-01,186,89
양현진,두산,외야수,2002-01-03,191,86
엄지민,두산,외야수,2005-11-22,178,87
오명진,두산,내야수,2001-09-04,179,79
윤준호,두산,포수,2000-11-14,179,90
윤태호,두산,투수,2003-10-10,190,88
이기석,두산,투수,2002-06-07,181,80
이병헌,두산,투수,2003-06-04,183,95
이선우,두산,내야수,2006-04-04,182,80
이영하,두산,투수,1997-11-01,192,91
이용찬,두산,투수,1989-01-02,185,85
이유찬,두산,내야수,1998-08-05,175,68
이종혁,두산,내야수,2000-02-22,183,78
이주엽,두산,투수,2001-03-26,188,90
이주호,두산,투수,2006-11-21,177,83
이희성,두산,포수,2004-02-02,179,90
임서준,두산,내야수,2004-07-11,185,85
임종성,두산,내야수,2005-03-03,183,90
임종훈,두산,투수,2007-05-07,179,78
임현철,두산,외야수,2007-10-21,180,70
장규빈,두산,포수,2001-04-21,186,98
장우진,두산,투수,2004-03-20,188,84
잭로그,두산,투수,1996-04-23,183,84
전다민,두산,외야수,2001-08-21,177,75
정성헌,두산,투수,2006-09-11,183,92
정수빈,두산,외야수,1990-10-07,175,70
정은재,두산,투수,1991-12-31,192,92
제환유,두산,투수,2000-09-30,183,76
조수행,두산,외야수,1993-08-30,178,73
주양준,두산,외야수,2006-04-09,188,85
지강혁,두산,내야수,2000-08-14,181,83
천현재,두산,외야수,1999-07-05,183,90
최민석,두산,투수,2006-07-02,188,84
최승용,두산,투수,2001-05-11,190,87
최우인,두산,투수,2002-08-09,191,91
최원준,두산,투수,1994-12-21,182,91
최종인,두산,투수,2001-05-01,185,84
최주형,두산,투수,2006-08-19,174,70
최준호,두산,투수,2004-06-03,188,90
최지강,두산,투수,2001-07-23,180,88
카메론,두산,외야수,1997-01-15,183,83
타무라,두산,투수,1994-09-19,173,79
타카다,두산,투수,2002-09-18,179,84
플렉센,두산,투수,1994-07-01,190,99
한다현,두산,내야수,2006-08-25,181,85
홍성호,두산,외야수,1997-07-15,187,98
황희천,두산,투수,2006-11-06,190,93
강태경,NC,투수,2001-07-26,188,95
고승완,NC,외야수,2001-03-15,178,81
고준휘,NC,외야수,2007-08-12,181,85
구창모,NC,투수,1997-02-17,183,85
권희동,NC,외야수,1990-12-30,177,85
김건,NC,내야수,2007-05-23,180,81
김녹원,NC,투수,2003-05-17,182,88
김동현,NC,포수,2002-08-30,180,88
김명규,NC,내야수,2007-01-18,188,93
김범준,NC,외야수,2000-04-20,183,90
김영규,NC,투수,2000-02-10,188,86
김요엘,NC,투수,2007-04-04,185,78
김재민,NC,포수,2005-08-31,178,88
김재열,NC,투수,1996-01-02,183,97
김정호,NC,포수,1998-07-13,172,84
김주원,NC,내야수,2002-07-30,185,83
김준원,NC,투수,2005-05-31,190,82
김진호,NC,투수,1998-06-07,183,90
김태경,NC,투수,2001-04-07,188,95
김태우,NC,투수,1999-09-15,193,92
김태현,NC,투수,1998-03-21,188,95
김태훈,NC,투수,2006-10-26,188,88
김한별,NC,내야수,2001-01-18,177,85
김형준,NC,포수,1999-11-02,187,98
김휘집,NC,내야수,2002-01-01,180,92
노재원,NC,투수,2001-07-26,179,93
도태훈,NC,내야수,1993-03-18,184,85
라일리,NC,투수,1996-07-09,190,100
류진욱,NC,투수,1996-10-10,189,88
목지훈,NC,투수,2004-05-11,181,83
박건우,NC,외야수,1990-09-08,184,80
박동수,NC,투수,1999-05-24,177,85
박민우,NC,내야수,1993-02-06,185,80
박성재,NC,포수,2003-03-21,179,85
박시원,NC,외야수,2001-05-30,185,85
박영빈,NC,외야수,1997-07-16,182,88
박인우,NC,내야수,2001-12-14,177,80
박주찬,NC,내야수,1996-01-11,178,84
박지한,NC,투수,2000-10-21,185,90
배상호,NC,외야수,2004-03-12,181,75
배재환,NC,투수,1995-02-24,186,95
버하겐,NC,투수,1990-10-22,198,104
블레인,NC,내야수,1997-06-17,178,101
서호철,NC,내야수,1996-10-16,179,85
소이현,NC,투수,1999-02-09,185,93
손민서,NC,투수,2007-02-18,181,83
손주환,NC,투수,2002-01-05,177,85
송명기,NC,투수,2000-08-09,191,102
신민우,NC,포수,2006-08-13,181,88
신민혁,NC,투수,1999-02-04,184,95
신성호,NC,내야수,2003-09-28,178,76
신영우,NC,투수,2004-04-21,182,84
신재인,NC,내야수,2007-06-28,185,83
안중열,NC,포수,1995-09-01,176,87
안지원,NC,외야수,2007-05-05,188,80
양가온솔,NC,외야수,2006-02-24,182,79
오영수,NC,내야수,2000-01-30,178,93
오장한,NC,외야수,2002-05-20,185,90
오태양,NC,내야수,2002-04-25,180,78
원종해,NC,투수,2005-04-09,183,83
유재현,NC,내야수,2005-10-17,182,76
윤서현,NC,투수,2007-03-13,191,98
윤성환,NC,투수,2003-06-19,185,97
윤준혁,NC,내야수,2001-07-26,186,86
이세민,NC,투수,2005-08-08,187,100
이용준,NC,투수,2002-05-08,180,95
이우성,NC,외야수,1994-07-17,182,95
이재학,NC,투수,1990-10-04,181,84
이준혁,NC,투수,2003-06-30,184,87
이준호,NC,투수,2000-03-27,181,85
이한,NC,내야수,2003-08-25,181,83
이희성,NC,포수,2007-04-01,185,95
임정호,NC,투수,1990-04-16,188,90
임지민,NC,투수,2003-10-11,185,82
장창훈,NC,외야수,2000-05-22,176,70
전루건,NC,투수,2000-06-09,185,80
전사민,NC,투수,1999-07-06,194,85
정구범,NC,투수,2000-06-16,183,73
정주영,NC,투수,2004-06-08,184,97
정튼튼,NC,투수,2003-06-01,180,85
조민석,NC,투수,1998-12-21,180,81
조창연,NC,외야수,2006-04-07,185,90
조현진,NC,내야수,2002-09-10,182,69
조효원,NC,외야수,1999-03-10,180,87
천재환,NC,외야수,1994-04-01,181,83
최성영,NC,투수,1997-04-28,180,85
최요한,NC,투수,2007-10-16,180,80
최우석,NC,투수,2005-03-31,190,90
최윤혁,NC,투수,2004-01-07,185,93
최정원,NC,내야수,2000-06-24,176,70
테일러,NC,투수,1995-07-25,198,106
토다,NC,투수,2000-07-22,170,80
하준영,NC,투수,1999-09-06,182,79
한석현,NC,외야수,1994-05-17,181,73
한재환,NC,내야수,2001-10-19,177,89
허윤,NC,내야수,2007-03-29,177,73
홍재문,NC,투수,2004-07-09,183,95
홍종표,NC,내야수,2000-05-02,178,72
강승구,롯데,포수,2003-10-19,180,83
고승민,롯데,내야수,2000-08-11,189,92
구승민,롯데,투수,1990-06-12,182,86
김강현,롯데,투수,1995-02-27,177,84
김기준,롯데,투수,2004-04-16,188,90
김대현,롯데,외야수,2003-11-15,176,84
김동규,롯데,내야수,1999-04-08,185,85
김동혁,롯데,외야수,2000-09-15,177,77
김동현,롯데,외야수,2004-12-30,185,100
김민성,롯데,내야수,1988-12-17,181,94
김세민,롯데,내야수,2003-06-14,183,78
김영준,롯데,투수,1999-01-12,185,90
김원중,롯데,투수,1993-06-14,192,96
김주완,롯데,투수,2003-08-27,189,96
김진욱,롯데,투수,2002-07-05,185,90
김창훈,롯데,투수,2001-11-09,185,98
김태균,롯데,투수,2006-07-31,191,97
김태혁,롯데,투수,1988-01-02,180,88
김한결,롯데,투수,2006-07-24,193,93
김한홀,롯데,외야수,2006-12-12,189,83
김현도,롯데,포수,2002-04-26,173,88
김현수,롯데,투수,2007-09-19,186,90
김호범,롯데,내야수,2003-08-16,186,88
김화중,롯데,투수,2006-02-27,188,91
나균안,롯데,투수,1998-03-16,186,109
나승엽,롯데,내야수,2002-02-15,190,82
남해담,롯데,투수,2007-06-05,186,78
노진혁,롯데,내야수,1989-07-15,184,80
레이예스,롯데,외야수,1994-10-05,196,87
로드리게스,롯데,투수,1998-03-31,193,97
박건우,롯데,포수,2003-02-01,183,92
박로건,롯데,투수,2001-08-27,186,88
박성준,롯데,투수,2005-11-28,180,81
박세웅,롯데,투수,1995-11-30,182,85
박세진,롯데,투수,1997-06-27,178,93
박세현,롯데,투수,2006-01-21,183,88
박승욱,롯데,내야수,1992-12-04,184,83
박시영,롯데,투수,1989-03-10,181,92
박재엽,롯데,포수,2006-01-23,184,92
박정민,롯데,투수,2003-09-26,188,95
박준우,롯데,투수,2005-05-27,190,94
박지훈,롯데,내야수,2002-05-14,176,75
박진,롯데,투수,1999-04-02,182,106
박찬형,롯데,내야수,2002-10-17,175,78
