name,long_name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
T. Alexander-Arnold,Trent Alexander-Arnold,RB,Liverpool,87,79.0,68.0,88.0,80.0,80.0,72.0,114000000.0,22,180
M. Verratti,Marco Verratti,"CM, CAM",Paris Saint-Germain,87,64.0,61.0,87.0,91.0,79.0,67.0,79500000.0,28,165
C. Immobile,Ciro Immobile,ST,Lazio,87,86.0,87.0,67.0,81.0,39.0,77.0,67500000.0,31,185
T. Müller,Thomas Müller,"CAM, RM, RW",FC Bayern München,87,67.0,84.0,83.0,80.0,56.0,71.0,66000000.0,31,185
S. Agüero,Sergio Leonel Agüero del Castillo,ST,FC Barcelona,87,71.0,89.0,75.0,87.0,33.0,69.0,51000000.0,33,173
Á. Di María,Ángel Fabián Di María Hernández,"RW, LW",Paris Saint-Germain,87,83.0,81.0,86.0,87.0,48.0,69.0,49500000.0,33,180
L. Modrić,Luka Modrić,CM,Real Madrid CF,87,73.0,76.0,89.0,88.0,72.0,66.0,32000000.0,35,172
P. Pogba,Paul Pogba,"CM, LM",Manchester United,87,71.0,81.0,86.0,86.0,65.0,83.0,79500000.0,28,191
Gerard Moreno,Gerard Moreno Balagueró,"ST, RM, RW",Villarreal CF,86,79.0,86.0,77.0,84.0,46.0,73.0,68000000.0,29,180
M. Škriniar,Milan Škriniar,CB,Inter,86,80.0,41.0,53.0,69.0,87.0,84.0,74000000.0,26,188
Rodri,Rodrigo Hernández Cascante,CDM,Manchester City,86,61.0,70.0,77.0,78.0,82.0,82.0,81000000.0,25,191
Marcos Llorente,Marcos Llorente Moreno,"CM, RM, ST",Atlético de Madrid,86,88.0,80.0,81.0,82.0,78.0,82.0,88000000.0,26,184
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,"CAM, CM, RW",Manchester City,86,80.0,76.0,83.0,91.0,54.0,67.0,80000000.0,26,173
K. Coman,Kingsley Junior Coman,"LM, RM, LW",FC Bayern München,86,93.0,76.0,79.0,88.0,30.0,60.0,81000000.0,25,180
A. Laporte,Aymeric Laporte,CB,Manchester City,86,63.0,50.0,72.0,69.0,86.0,80.0,77000000.0,27,191
João Cancelo,João Pedro Cavaco Cancelo,"RB, LB",Manchester City,86,85.0,71.0,83.0,84.0,80.0,72.0,71500000.0,27,182
J. Vardy,Jamie Vardy,ST,Leicester City,86,85.0,84.0,70.0,80.0,52.0,73.0,33000000.0,34,179
Fabinho,Fábio Henrique Tavares,"CDM, CB",Liverpool,86,67.0,69.0,78.0,78.0,85.0,83.0,73500000.0,27,188
R. Mahrez,Riyad Mahrez,"RW, RM",Manchester City,86,81.0,79.0,81.0,90.0,38.0,60.0,65500000.0,30,179
K. Koulibaly,Kalidou Koulibaly,CB,Napoli,86,81.0,28.0,51.0,65.0,87.0,85.0,55500000.0,30,187
L. Insigne,Lorenzo Insigne,"LW, CF",Napoli,86,87.0,78.0,85.0,90.0,36.0,45.0,65500000.0,30,163
Parejo,Daniel Parejo Muñoz,CM,Villarreal CF,86,50.0,83.0,90.0,81.0,71.0,69.0,53500000.0,32,182
Sergio Busquets,Sergio Busquets i Burgos,"CDM, CM",FC Barcelona,86,42.0,62.0,79.0,80.0,82.0,75.0,45000000.0,32,189
Thiago,Thiago Alcântara do Nascimento,"CM, CDM",Liverpool,86,63.0,72.0,86.0,90.0,70.0,66.0,65000000.0,30,174
Jordi Alba,Jordi Alba Ramos,"LB, LM",FC Barcelona,86,86.0,69.0,81.0,83.0,77.0,71.0,47000000.0,32,170
M. Hummels,Mats Hummels,CB,Borussia Dortmund,86,56.0,59.0,77.0,73.0,89.0,77.0,44000000.0,32,191
G. Chiellini,Giorgio Chiellini,CB,Juventus,86,68.0,46.0,60.0,59.0,89.0,85.0,12000000.0,36,187
R. Varane,Raphaël Varane,CB,Manchester United,86,82.0,49.0,64.0,65.0,87.0,82.0,68500000.0,28,191
W. Ndidi,Onyinye Wilfred Ndidi,"CDM, CM",Leicester City,85,67.0,62.0,69.0,74.0,87.0,83.0,66500000.0,24,183
M. Depay,Memphis Depay,"CF, LW, CAM",FC Barcelona,85,82.0,83.0,82.0,84.0,30.0,79.0,63000000.0,27,176
Carvajal,Daniel Carvajal Ramos,RB,Real Madrid CF,85,80.0,54.0,78.0,80.0,81.0,80.0,47500000.0,29,173
Jorginho,Luiz Frello Filho Jorge,"CM, CDM",Chelsea,85,55.0,67.0,86.0,81.0,73.0,73.0,52500000.0,29,180
S. Milinković-Savić,Sergej Milinković-Savić,"CM, CDM, CAM",Lazio,85,68.0,79.0,80.0,81.0,79.0,86.0,66000000.0,26,191
M. de Ligt,Matthijs de Ligt,CB,Juventus,85,73.0,59.0,60.0,69.0,84.0,87.0,75000000.0,21,189
Oyarzabal,Mikel Oyarzabal Ugarte,"LW, RW",Real Sociedad,85,82.0,82.0,81.0,84.0,41.0,63.0,77500000.0,24,181
L. Martínez,Lautaro Javier Martínez,ST,Inter,85,84.0,81.0,72.0,85.0,48.0,84.0,78000000.0,23,174
M. Rashford,Marcus Rashford,"LM, ST",Manchester United,85,90.0,84.0,79.0,84.0,43.0,77.0,77500000.0,23,186
A. Hakimi,Achraf Hakimi Mouh,"RB, RWB",Paris Saint-Germain,85,95.0,71.0,78.0,83.0,76.0,78.0,69500000.0,22,181
S. de Vrij,Stefan de Vrij,CB,Inter,85,72.0,41.0,64.0,70.0,87.0,79.0,45000000.0,29,189
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,CF,Liverpool,85,77.0,78.0,79.0,89.0,59.0,78.0,54000000.0,29,181
S. Gnabry,Serge David Gnabry,"RM, LM, RW",FC Bayern München,85,83.0,84.0,79.0,86.0,43.0,69.0,64500000.0,25,176
A. Griezmann,Antoine Griezmann,"ST, LW, RW",Atlético de Madrid,85,80.0,84.0,84.0,87.0,52.0,72.0,53000000.0,30,176
L. Bonucci,Leonardo Bonucci,CB,Juventus,85,64.0,58.0,69.0,72.0,86.0,80.0,17500000.0,34,190
Koke,Jorge Resurrección Merodio,"CM, CDM",Atlético de Madrid,85,70.0,75.0,85.0,81.0,79.0,80.0,52500000.0,29,176
Thiago Silva,Thiago Emiliano da Silva,CB,Chelsea,85,53.0,54.0,72.0,72.0,86.0,78.0,9500000.0,36,183
E. Cavani,Edinson Roberto Cavani Gómez,ST,Manchester United,85,66.0,86.0,70.0,76.0,51.0,79.0,26000000.0,34,185
E. Hazard,Eden Hazard,LW,Real Madrid CF,85,84.0,80.0,82.0,88.0,35.0,63.0,52000000.0,30,175
David Silva,David Josué Jiménez Silva,"CAM, CM",Real Sociedad,85,63.0,74.0,87.0,87.0,52.0,53.0,22000000.0,35,173
İ. Gündoğan,İlkay Gündoğan,"CM, CDM",Manchester City,85,65.0,80.0,85.0,86.0,73.0,72.0,51500000.0,30,180
M. Reus,Marco Reus,"CAM, CF",Borussia Dortmund,85,73.0,84.0,84.0,85.0,47.0,63.0,43000000.0,32,180
A. Gómez,Alejandro Darío Gómez,"CAM, CF, CM",Sevilla FC,85,87.0,78.0,84.0,87.0,39.0,55.0,33500000.0,33,167
K. Walker,Kyle Walker,RB,Manchester City,85,92.0,63.0,76.0,78.0,80.0,82.0,39000000.0,31,183
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,"ST, LW, LM",Arsenal,85,89.0,85.0,75.0,80.0,35.0,69.0,43500000.0,32,187
J. Giménez,José María Giménez de Vargas,CB,Atlético de Madrid,84,69.0,45.0,57.0,59.0,86.0,80.0,52000000.0,26,185
Y. Carrasco,Yannick Ferreira Carrasco,"LM, ST",Atlético de Madrid,84,88.0,81.0,78.0,85.0,45.0,67.0,45000000.0,27,185
F. Kostić,Filip Kostić,"LM, LWB",Eintracht Frankfurt,84,88.0,77.0,82.0,83.0,68.0,80.0,42500000.0,28,184
H. Ziyech,Hakim Ziyech,"RW, CAM",Chelsea,84,78.0,76.0,87.0,83.0,50.0,65.0,42500000.0,28,181
R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",Borussia Dortmund,84,75.0,77.0,85.0,88.0,76.0,58.0,40500000.0,27,170
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, RM",Leicester City,84,83.0,67.0,78.0,82.0,80.0,75.0,40500000.0,27,175
M. Brozović,Marcelo Brozović,"CDM, CM",Inter,84,69.0,74.0,80.0,79.0,79.0,78.0,37000000.0,28,181
Y. Tielemans,Youri Tielemans,"CM, CDM",Leicester City,84,63.0,79.0,86.0,80.0,71.0,72.0,57000000.0,24,176
F. Kessié,Franck Yannick Kessié,"CDM, CM",AC Milan,84,78.0,74.0,74.0,80.0,82.0,87.0,49500000.0,24,183
N. Fekir,Nabil Fekir,"CAM, RM, ST",Real Betis Balompié,84,83.0,83.0,82.0,87.0,38.0,79.0,45000000.0,27,173
L. Sané,Leroy Aziz Sané,"RM, LM",FC Bayern München,84,90.0,81.0,79.0,85.0,38.0,68.0,56000000.0,25,183
N. Barella,Nicolò Barella,CM,Inter,84,78.0,71.0,79.0,86.0,75.0,78.0,63500000.0,24,172
M. Acuña,Marcos Javier Acuña,"LB, LM",Sevilla FC,84,76.0,74.0,82.0,87.0,79.0,82.0,37000000.0,29,172
André Silva,André Miguel Valente da Silva,ST,RB Leipzig,84,74.0,84.0,69.0,83.0,45.0,77.0,51000000.0,25,185
M. Ginter,Matthias Ginter,CB,Borussia Mönchengladbach,84,62.0,58.0,72.0,66.0,86.0,79.0,42500000.0,27,191
T. Hernández,Theo Bernard François Hernández,LB,AC Milan,84,93.0,71.0,76.0,81.0,77.0,82.0,62500000.0,23,184
K. Havertz,Kai Lukas Havertz,"CAM, CF, CM",Chelsea,84,82.0,78.0,79.0,84.0,45.0,66.0,94500000.0,22,188
P. Foden,Philip Foden,"CAM, LW, CM",Manchester City,84,84.0,78.0,80.0,87.0,56.0,57.0,94500000.0,21,171
Felipe,Felipe Augusto de Almeida Monteiro,CB,Atlético de Madrid,84,61.0,41.0,58.0,62.0,85.0,84.0,27500000.0,32,190
T. Werner,Timo Werner,"ST, LW",Chelsea,84,91.0,81.0,70.0,82.0,35.0,70.0,56500000.0,25,180
J. Grealish,Jack Grealish,"LW, LM, CAM",Manchester City,84,80.0,76.0,83.0,88.0,46.0,64.0,50500000.0,25,180
Iago Aspas,Iago Aspas Juncal,"ST, RW",RC Celta de Vigo,84,82.0,85.0,79.0,86.0,35.0,63.0,27000000.0,33,176
L. Shaw,Luke Shaw,LB,Manchester United,84,79.0,54.0,79.0,80.0,81.0,80.0,48500000.0,25,181
Z. Ibrahimović,Zlatan Ibrahimović,ST,AC Milan,84,65.0,87.0,78.0,79.0,34.0,77.0,14500000.0,39,195
Jesús Navas,Jesús Navas González,"RB, RM",Sevilla FC,84,87.0,69.0,81.0,83.0,79.0,58.0,13000000.0,35,172
Piqué,Gerard Piqué Bernabéu,CB,FC Barcelona,84,58.0,61.0,71.0,68.0,85.0,78.0,13500000.0,34,194
G. Wijnaldum,Georginio Wijnaldum,"CM, CDM",Paris Saint-Germain,84,77.0,75.0,80.0,86.0,79.0,79.0,40500000.0,30,175
J. Henderson,Jordan Henderson,"CDM, CM",Liverpool,84,66.0,74.0,83.0,79.0,78.0,81.0,29500000.0,31,182
Fernando,Fernando Francisco Reges,"CDM, CM",Sevilla FC,84,66.0,62.0,75.0,74.0,83.0,82.0,21000000.0,33,183
K. Trippier,Kieran Trippier,"RB, RWB, RM",Atlético de Madrid,84,73.0,63.0,82.0,77.0,80.0,72.0,36500000.0,30,173
D. Mertens,Dries Mertens,"CF, ST, CAM",Napoli,84,85.0,82.0,80.0,88.0,34.0,50.0,20500000.0,34,169
D. Alaba,David Olatukunbo Alaba,"CB, LB",Real Madrid CF,84,77.0,70.0,81.0,80.0,83.0,76.0,35500000.0,29,180
D. Tadić,Dušan Tadić,"LW, CF, CAM",Ajax,84,69.0,81.0,85.0,85.0,43.0,76.0,33500000.0,32,181
W. Ben Yedder,Wissam Ben Yedder,ST,AS Monaco,84,82.0,84.0,77.0,87.0,39.0,70.0,41500000.0,30,170
L. Digne,Lucas Digne,LB,Everton,84,79.0,69.0,80.0,80.0,80.0,76.0,40500000.0,27,178
J. Iličić,Josip Iličić,"CF, ST",Atalanta,84,75.0,86.0,84.0,86.0,40.0,67.0,27000000.0,33,190
H. Maguire,Harry Maguire,CB,Manchester United,84,50.0,55.0,69.0,70.0,85.0,87.0,42500000.0,28,194
S. Savić,Stefan Savić,CB,Atlético de Madrid,84,64.0,35.0,57.0,58.0,87.0,76.0,34500000.0,30,187
Luis Alberto,Luis Alberto Romero Alconchel,"CAM, CM, CF",Lazio,84,60.0,76.0,86.0,84.0,57.0,59.0,42500000.0,28,183
M. Sabitzer,Marcel Sabitzer,"CM, CDM, CAM",FC Bayern München,84,78.0,84.0,81.0,80.0,67.0,78.0,48000000.0,27,178
A. Kramarić,Andrej Kramarić,"ST, CAM",TSG Hoffenheim,83,71.0,86.0,76.0,86.0,30.0,71.0,35500000.0,30,177
W. Weghorst,Wout Weghorst,ST,VfL Wolfsburg,83,63.0,83.0,59.0,70.0,52.0,86.0,37000000.0,28,197
Marco Asensio,Marco Asensio Willemsen,"RW, LW",Real Madrid CF,83,82.0,80.0,81.0,83.0,43.0,62.0,48000000.0,25,182
L. Hernández,Lucas François Bernard Hernández Pi,"LB, CB",FC Bayern München,83,77.0,54.0,68.0,71.0,84.0,79.0,44500000.0,25,184
Angeliño,José Ángel Esmoris Tasende,"LWB, LM",RB Leipzig,83,78.0,71.0,82.0,84.0,76.0,70.0,46000000.0,24,175
T. Lemar,Thomas Lemar,"LM, CM, RM",Atlético de Madrid,83,82.0,76.0,82.0,86.0,59.0,63.0,48000000.0,25,171
D. Zapata,Duván Esteban Zapata Banguera,ST,Atalanta,83,80.0,81.0,61.0,78.0,35.0,84.0,35500000.0,30,189
Á. Correa,Ángel Martín Correa,"ST, RM",Atlético de Madrid,83,85.0,83.0,78.0,87.0,49.0,74.0,48000000.0,26,171
P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",Tottenham Hotspur,83,60.0,71.0,76.0,76.0,81.0,82.0,43500000.0,25,185
Gayà,José Luís Gayà Peña,"LB, LWB, LM",Valencia CF,83,83.0,61.0,77.0,80.0,79.0,73.0,43500000.0,26,172
Merino,Mikel Merino Zazón,CM,Real Sociedad,83,74.0,78.0,81.0,82.0,82.0,81.0,50000000.0,25,189
R. Gosens,Robin Everardus Gosens,"LWB, LB, LM",Atalanta,83,82.0,75.0,74.0,79.0,77.0,81.0,36000000.0,26,183
F. Valverde,Federico Santiago Valverde Dipetta,CM,Real Madrid CF,83,86.0,74.0,78.0,79.0,77.0,80.0,58000000.0,22,182
P. Kimpembe,Presnel Kimpembe,CB,Paris Saint-Germain,83,81.0,42.0,68.0,70.0,83.0,86.0,45500000.0,25,189
F. Mendy,Ferland Mendy,LB,Real Madrid CF,83,92.0,64.0,76.0,79.0,78.0,84.0,43500000.0,26,180
A. Wan-Bissaka,Aaron Wan-Bissaka,RB,Manchester United,83,85.0,52.0,69.0,79.0,81.0,75.0,48500000.0,23,183
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM, RM",Grêmio,83,88.0,77.0,83.0,84.0,35.0,72.0,35500000.0,29,177
Arthur,Arthur Henrique Ramos de Oliveira Melo,CM,Juventus,83,69.0,67.0,83.0,88.0,72.0,70.0,47000000.0,24,171
Gabriel Jesus,Gabriel Fernando de Jesus,ST,Manchester City,83,84.0,81.0,72.0,86.0,39.0,73.0,52500000.0,24,175
O. Dembélé,Ousmane Dembélé,RW,FC Barcelona,83,93.0,77.0,77.0,86.0,36.0,56.0,55000000.0,24,178
M. Mount,Mason Mount,"CAM, CM, RW",Chelsea,83,74.0,79.0,84.0,83.0,55.0,65.0,58500000.0,22,178
F. Chiesa,Federico Chiesa,"RW, LW, RM",Juventus,83,91.0,81.0,74.0,85.0,48.0,73.0,80500000.0,23,175
J. Koundé,Jules Koundé,CB,Sevilla FC,83,81.0,45.0,64.0,72.0,84.0,78.0,53000000.0,22,181
João Félix,João Félix Sequeira,"CF, ST",Atlético de Madrid,83,82.0,79.0,76.0,86.0,40.0,68.0,82000000.0,21,181
M. Kovačić,Mateo Kovačić,"CM, CDM",Chelsea,83,70.0,69.0,83.0,88.0,69.0,70.0,41500000.0,27,176
T. Partey,Thomas Partey,"CM, CDM",Arsenal,83,69.0,71.0,82.0,81.0,80.0,84.0,36500000.0,28,185
J. Stones,John Stones,CB,Manchester City,83,70.0,51.0,71.0,74.0,84.0,78.0,41000000.0,27,188
L. Ocampos,Lucas Ariel Ocampos,"LW, RW",Sevilla FC,83,81.0,84.0,78.0,83.0,63.0,84.0,39500000.0,26,188
K. Manolas,Konstantinos Manolas,CB,Napoli,83,81.0,25.0,44.0,62.0,85.0,81.0,30000000.0,30,189
A. Rüdiger,Antonio Rüdiger,CB,Chelsea,83,75.0,43.0,68.0,64.0,84.0,84.0,34500000.0,28,190
C. Vela,Carlos Alberto Vela Garrido,"RW, LW, CAM",Los Angeles FC,83,80.0,82.0,78.0,84.0,31.0,67.0,29000000.0,32,177
A. Witsel,Axel Witsel,"CDM, CM",Borussia Dortmund,83,61.0,72.0,81.0,79.0,82.0,79.0,24000000.0,32,186
S. Kjær,Simon Thorup Kjær,CB,AC Milan,83,67.0,55.0,64.0,59.0,85.0,78.0,23500000.0,32,190
E. Džeko,Edin Džeko,ST,Inter,83,66.0,83.0,72.0,78.0,45.0,76.0,15500000.0,35,193
T. Alderweireld,Toby Alderweireld,CB,,83,58.0,55.0,70.0,67.0,86.0,77.0,,32,186
Azpilicueta,César Azpilicueta Tanco,"CB, RWB",Chelsea,83,66.0,55.0,76.0,72.0,84.0,76.0,25000000.0,31,178
Paulinho,José Paulo Bezzera Maciel Júnior,"CM, CAM, CDM",Al Ahli,83,72.0,81.0,77.0,81.0,80.0,85.0,28500000.0,32,183
Muniain,Iker Muniain Goñi,"CAM, RM, LM",Athletic Club de Bilbao,83,81.0,76.0,82.0,87.0,51.0,61.0,36500000.0,28,170
Canales,Sergio Canales Madrazo,"CM, CDM, LM",Real Betis Balompié,83,83.0,80.0,85.0,82.0,67.0,71.0,34500000.0,30,176
Alex Sandro,Alex Sandro Lobo Silva,"LB, LM",Juventus,83,81.0,65.0,77.0,79.0,78.0,79.0,31500000.0,30,180
J. Boateng,Jérôme Boateng,CB,Olympique Lyonnais,83,72.0,50.0,73.0,67.0,84.0,79.0,23500000.0,32,190
H. Mkhitaryan,Henrikh Mkhitaryan,"CF, RM, RW",Roma,83,85.0,80.0,79.0,83.0,56.0,74.0,29500000.0,32,177
Morata,Álvaro Borja Morata Martín,ST,Juventus,83,82.0,80.0,72.0,81.0,31.0,77.0,37000000.0,28,190
J. Cuadrado,Juan Guillermo Cuadrado Bello,"RB, RM",Juventus,83,90.0,75.0,77.0,87.0,76.0,72.0,19000000.0,33,179
Fernandinho,Fernando Luiz Rosa,"CDM, CB",Manchester City,83,59.0,72.0,75.0,78.0,84.0,75.0,7000000.0,36,179
L. Spinazzola,Leonardo Spinazzola,"LWB, LB, LM",Roma,83,92.0,64.0,73.0,80.0,78.0,71.0,33000000.0,28,186
R. Jiménez,Raúl Alonso Jiménez Rodríguez,ST,Wolverhampton Wanderers,83,72.0,82.0,76.0,81.0,47.0,82.0,35500000.0,30,188
M. Icardi,Mauro Emanuel Icardi Rivero,ST,Paris Saint-Germain,83,69.0,83.0,65.0,77.0,36.0,69.0,37000000.0,28,181
K. Volland,Kevin Volland,"ST, CF",AS Monaco,83,73.0,85.0,79.0,80.0,42.0,86.0,37000000.0,28,179
Allan,Allan Marques Loureiro,"CDM, CM",Everton,83,72.0,71.0,77.0,82.0,80.0,79.0,30500000.0,30,175
F. Acerbi,Francesco Acerbi,CB,Lazio,83,63.0,50.0,62.0,64.0,86.0,83.0,17500000.0,33,192
S. Coates,Sebastián Coates Nión,CB,Sporting CP,83,68.0,49.0,55.0,63.0,84.0,87.0,30000000.0,30,196
J. Matip,Joël Andre Job Matip,CB,Liverpool,83,58.0,46.0,68.0,68.0,85.0,78.0,30500000.0,29,194
D. Upamecano,Dayotchanculle Oswald Upamecano,CB,FC Bayern München,82,81.0,43.0,62.0,68.0,81.0,81.0,64000000.0,22,186
Palhinha,João Maria Lobo Alves Palhinha Gonçalves,"CDM, CM",Sporting CP,82,60.0,65.0,70.0,72.0,85.0,88.0,41000000.0,25,190
C. Pulisic,Christian Mate Pulisic,"LW, RW, LM",Chelsea,82,89.0,70.0,73.0,86.0,37.0,59.0,49000000.0,22,177
Fabián,Fabián Ruiz Peña,CM,Napoli,82,63.0,78.0,79.0,82.0,74.0,71.0,42000000.0,25,189
J. Gomez,Joe Gomez,CB,Liverpool,82,81.0,30.0,66.0,69.0,83.0,78.0,43500000.0,24,188
Diogo Jota,Diogo José Teixeira da Silva,"LW, ST",Liverpool,82,84.0,81.0,73.0,85.0,57.0,77.0,46000000.0,24,178
Rúben Neves,Rúben Diogo da Silva Neves,CM,Wolverhampton Wanderers,82,59.0,75.0,85.0,77.0,74.0,73.0,46000000.0,24,180
Diego Carlos,Diego Carlos Santos Silva,CB,Sevilla FC,82,76.0,47.0,63.0,68.0,81.0,83.0,30500000.0,28,185
M. Locatelli,Manuel Locatelli,"CDM, CM",Juventus,82,61.0,72.0,79.0,77.0,79.0,79.0,42000000.0,23,185
J. Maddison,James Maddison,"CAM, CM",Leicester City,82,75.0,78.0,84.0,84.0,54.0,60.0,41500000.0,24,175
C. Lenglet,Clément Nicolas Laurent Lenglet,CB,FC Barcelona,82,72.0,45.0,67.0,66.0,83.0,79.0,37500000.0,26,186
A. Rebić,Ante Rebić,"LM, ST",AC Milan,82,86.0,83.0,75.0,81.0,48.0,80.0,32500000.0,27,185
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"RM, LM",SL Benfica,82,94.0,73.0,74.0,86.0,50.0,52.0,30500000.0,28,170
R. De Paul,Rodrigo Javier De Paul,"CM, CF",Atlético de Madrid,82,78.0,76.0,80.0,82.0,71.0,79.0,35000000.0,27,180
L. Bailey,Leon Bailey Butler,"RM, RW, LW",Aston Villa,82,93.0,78.0,74.0,84.0,33.0,64.0,41500000.0,23,178
Mario Hermoso,Mario Hermoso Canseco,"CB, LB",Atlético de Madrid,82,75.0,49.0,72.0,71.0,83.0,80.0,35500000.0,26,185
T. Souček,Tomáš Souček,"CDM, CM",West Ham United,82,64.0,72.0,74.0,74.0,82.0,85.0,36000000.0,26,192
B. Chilwell,Ben Chilwell,"LWB, LB",Chelsea,82,76.0,53.0,77.0,78.0,78.0,75.0,40500000.0,24,178
Josué Chiamulera,Josué Durval Chiamulera Vaz,CB,Grêmio,82,78.0,43.0,56.0,64.0,85.0,79.0,25500000.0,29,185
Dani Olmo,Daniel Olmo Carvajal,"CAM, CF",RB Leipzig,82,67.0,76.0,81.0,86.0,50.0,60.0,46000000.0,23,179
Pau Torres,Pau Francisco Torres,CB,Villarreal CF,82,71.0,38.0,67.0,70.0,84.0,80.0,56500000.0,24,191
Ferran Torres,Ferran Torres García,"RW, ST",Manchester City,82,82.0,79.0,78.0,82.0,35.0,66.0,68500000.0,21,184
Éder Militão,Éder Gabriel Militão,CB,Real Madrid CF,82,83.0,50.0,69.0,71.0,83.0,82.0,56500000.0,23,186
Alex Telles,Alex Nicolao Telles,LB,Manchester United,82,83.0,73.0,82.0,78.0,77.0,73.0,27500000.0,28,181
T. Ndombele,Tanguy Ndombèlé Alvaro,"CAM, CM, CDM",Tottenham Hotspur,82,71.0,72.0,81.0,88.0,69.0,72.0,46000000.0,24,179
