name,long_name,positions,club,overall,pace,shooting,passing,dribbling,defending,physic,value_eur,age,height_cm
N. Schlotterbeck,Nico Schlotterbeck,CB,Borussia Dortmund,85,77,59,73,73,85,82,66000000,24,191
Nico Williams,Nicholas Williams Arthuer,"LM,RM",Athletic Club,85,93,74,78,86,36,65,78500000,21,181
R. Araujo,Ronald Araujo,"CB,RB",FC Barcelona,85,82,53,64,62,85,84,71500000,25,188
R. Mahrez,Riyad Mahrez,"RM,RW",Al Ahli SFC,85,79,81,81,88,39,62,33500000,33,179
Rafael Leão,Rafael da Conceição Leão,"LW,LM",AC Milan,85,93,79,80,86,28,77,71500000,25,188
S. Milinković-Savić,Sergej Milinković-Savić,"CM,CDM",Al Hilal,85,64,80,81,82,78,88,52500000,29,192
S. Tonali,Sandro Tonali,"CDM,CM",Newcastle United,85,84,75,81,81,82,83,63000000,24,181
Vitinha,Vítor Machado Ferreira,"CM,CDM",Paris Saint-Germain,85,72,78,84,87,73,68,77000000,24,172
Éder Militão,Éder Gabriel Militão,CB,Real Madrid,85,85,50,69,71,85,82,62500000,26,186
A. Davies,Alphonso Davies,"LB,LM",Bayern München,84,95,66,78,85,73,78,53500000,23,185
A. Lookman,Ademola Lookman,"ST,CAM",Atalanta BC,84,86,83,72,88,32,69,50500000,26,174
A. Tchouaméni,Aurélien Tchouaméni,"CDM,CM,CB",Real Madrid,84,73,69,79,78,81,82,52000000,24,187
B. Pavard,Benjamin Pavard,"CB,RB",Inter Milan,84,75,67,76,76,86,82,36500000,28,186
B. White,Benjamin White,RB,Arsenal FC,84,73,35,77,78,83,80,42000000,26,185
C. Gakpo,Cody Gakpo,"LM,LW,ST",Liverpool FC,84,83,83,80,83,48,75,50500000,25,189
C. Pulisic,Christian Pulisic,"RW,RM,CAM",AC Milan,84,88,82,78,86,38,63,50500000,25,178
D. Alaba,David Alaba,"CB,LB",Real Madrid,84,77,71,83,80,85,76,27500000,32,180
D. Kulusevski,Dejan Kulusevski,"CAM,CM,RW",Tottenham Hotspur,84,75,79,83,85,62,83,57500000,24,186
E. Palacios,Exequiel Palacios,"CM,CDM",Bayer 04 Leverkusen,84,69,76,79,82,82,73,55500000,25,178
F. Acerbi,Francesco Acerbi,CB,Inter Milan,84,60,50,65,65,87,80,7500000,36,192
Iago Aspas,Iago Aspas Juncal,"ST,RW,CAM",RC Celta,84,81,86,81,85,35,65,14500000,36,176
Iñigo Martínez,Iñigo Martínez Berridi,CB,FC Barcelona,84,71,57,69,67,85,80,20000000,33,182
J. Frimpong,Jeremie Frimpong,"RM,RB",Bayer 04 Leverkusen,84,93,62,74,85,75,68,54500000,23,172
J. Gvardiol,Joško Gvardiol,"LB,CB",Manchester City,84,79,71,75,78,84,83,54500000,22,185
J. Maddison,James Maddison,"CM,CAM",Tottenham Hotspur,84,71,81,86,86,56,63,44500000,27,175
João Neves,João Pedro Gonçalves Neves,"CM,CDM",Paris Saint-Germain,84,77,69,79,84,79,80,63500000,19,174
K. Coman,Kingsley Coman,"LM,RM",Bayern München,84,87,75,78,87,30,61,42500000,28,181
L. Openda,Loïs Openda,ST,RB Leipzig,84,95,83,69,81,31,79,58500000,24,175
L. Sané,Leroy Sané,"RM,LM,RW",Bayern München,84,88,81,79,86,37,69,42500000,28,183
M. Thuram,Marcus Thuram,ST,Inter Milan,84,86,82,76,82,50,82,50500000,26,192
Mikel Merino,Mikel Merino Zazón,"CM,ST",Arsenal FC,84,70,79,81,81,81,81,42000000,28,189
O. Marmoush,Omar Marmoush,"ST,LW,CAM",Manchester City,84,89,84,76,86,34,71,51000000,25,183
O. Watkins,Ollie Watkins,ST,Aston Villa,84,84,82,73,80,50,83,43000000,28,180
P. Schick,Patrik Schick,ST,Bayer 04 Leverkusen,84,74,83,71,81,38,77,43000000,28,191
R. De Paul,Rodrigo De Paul,"CM,CDM",Atlético Madrid,84,76,78,83,82,76,84,40500000,30,180
R. Gravenberch,Ryan Gravenberch,"CDM,CM",Liverpool FC,84,76,76,80,85,80,80,53500000,22,190
Rúben Neves,Rúben Diogo da Silva Neves,"CDM,CM",Al Hilal,84,58,75,87,77,77,75,43000000,27,180
S. Mané,Sadio Mané,"LM,RM,ST",Al Nassr,84,83,81,79,86,44,75,33500000,32,174
T. Reijnders,Tijjani Reijnders,"CM,CDM,CAM",AC Milan,84,80,77,81,85,76,80,55500000,25,185
X. Simons,Xavi Simons,"CAM,LW,LM",RB Leipzig,84,81,77,80,86,61,71,65000000,21,179
İ. Gündoğan,İlkay Gündoğan,"CM,CDM",Manchester City,84,56,80,83,85,74,68,26000000,33,180
A. Dovbyk,Artem Dovbyk,ST,AS Roma,83,83,84,69,79,34,81,42500000,27,189
A. Gordon,Anthony Gordon,"LW,RW",Newcastle United,83,91,79,78,83,50,71,49500000,23,183
A. Laporte,Aymeric Laporte,CB,Al Nassr,83,55,50,75,70,85,77,30000000,30,189
A. Rabiot,Adrien Rabiot,"CM,CAM",Olympique de Marseille,83,81,78,80,79,80,86,35500000,29,191
A. Romagnoli,Alessio Romagnoli,CB,SS Lazio,83,64,40,56,69,84,79,30500000,29,185
Aleix García,Aleix García Serrano,"CM,CDM",Bayer 04 Leverkusen,83,67,75,85,84,75,68,41500000,27,173
B. Barcola,Bradley Barcola,"LW,RW",Paris Saint-Germain,83,90,77,76,83,39,64,56000000,21,186
B. Kamara,Boubacar Kamara,"CDM,CM",Aston Villa,83,66,55,74,75,84,80,42500000,24,184
Balde,Alejandro Balde Martínez,LB,FC Barcelona,83,91,50,75,79,78,67,47500000,20,175
C. Romero,Cristian Romero,CB,Tottenham Hotspur,83,68,46,62,66,85,81,39500000,26,185
D. Dumfries,Denzel Dumfries,"RB,RM",Inter Milan,83,84,70,74,77,79,87,33000000,28,188
D. Vlahović,Dušan Vlahović,ST,Juventus FC,83,78,84,69,77,29,84,50000000,24,190
E. Camavinga,Eduardo Camavinga,"CM,CDM,LB",Real Madrid,83,80,68,81,84,78,80,73500000,21,185
E. Fernández,Enzo Fernández,"CM,CDM,CAM",Chelsea FC,83,68,75,84,81,75,78,52000000,23,178
Fabián Ruiz,Fabián Ruiz Peña,"CM,CDM",Paris Saint-Germain,83,58,76,80,80,75,71,36500000,28,189
G. Di Lorenzo,Giovanni Di Lorenzo,"RB,CB",SSC Napoli,83,84,70,73,77,79,80,31500000,30,183
G. Mancini,Gianluca Mancini,CB,AS Roma,83,71,49,56,64,84,83,31500000,28,190
Gavi,Pablo Martín Páez Gavira,"CM,CAM",FC Barcelona,83,76,66,78,85,68,70,55000000,19,173
Gerard Moreno,Gerard Moreno Balagueró,"ST,RW,CAM",Villarreal CF,83,77,84,77,81,46,72,29500000,32,180
H. Mkhitaryan,Henrikh Mkhitaryan,"CM,CAM",Inter Milan,83,79,78,82,83,72,78,14500000,35,177
Isco,Francisco Román Alarcón Suárez,"CAM,LM,CM",Real Betis Balompié,83,66,76,84,85,59,60,29000000,32,176
Iñaki Williams,Iñaki Williams Arthuer,"RM,ST",Athletic Club,83,94,81,74,80,45,84,35000000,30,186
J. Giménez,José María Giménez,CB,Atlético Madrid,83,74,46,60,62,85,82,30500000,29,185
J. Stones,John Stones,"CB,RB",Manchester City,83,69,58,74,77,84,75,30000000,30,188
K. Laimer,Konrad Laimer,"RB,CDM,CM",Bayern München,83,80,69,76,76,82,78,35000000,27,180
Kim Min Jae,Min Jae Kim,CB,Bayern München,83,73,33,57,63,84,83,36500000,27,190
L. Goretzka,Leon Goretzka,"CM,CDM",Bayern München,83,68,80,79,80,80,84,35500000,29,189
L. Martínez,Lisandro Martínez,CB,Manchester United,83,71,59,79,79,84,81,37500000,26,178
L. Torreira,Lucas Torreira,"CDM,CM",Galatasaray SK,83,76,71,78,81,81,81,32000000,28,166
L. Trossard,Leandro Trossard,"LW,ST",Arsenal FC,83,82,82,80,85,30,61,35500000,29,171
M. Akanji,Manuel Akanji,CB,Manchester City,83,78,48,70,75,84,82,31500000,28,187
M. Diaby,Moussa Diaby,"RM,ST",Al Ittihad,83,95,75,74,86,43,53,45000000,24,170
M. Icardi,Mauro Icardi,ST,Galatasaray SK,83,68,83,71,76,40,75,30500000,31,181
M. Kovačić,Mateo Kovačić,"CM,CDM",Manchester City,83,70,70,82,87,72,72,34500000,30,178
M. Locatelli,Manuel Locatelli,"CDM,CM",Juventus FC,83,63,68,80,76,80,80,43000000,26,185
M. Zaccagni,Mattia Zaccagni,"LM,LW",SS Lazio,83,87,78,76,88,57,66,35500000,29,177
M. de Ligt,Matthijs de Ligt,CB,Manchester United,83,62,61,63,67,83,83,42000000,24,189
M. van de Ven,Micky van de Ven,CB,Tottenham Hotspur,83,90,47,64,72,83,83,47000000,23,193
Marc Cucurella,Marc Cucurella Saseta,LB,Chelsea FC,83,77,64,80,81,81,78,39500000,25,174
Marcos Llorente,Marcos Llorente Moreno,"RB,CM,RM",Atlético Madrid,83,89,79,78,80,78,81,32000000,29,184
Morata,Álvaro Borja Morata Martín,"ST,CAM",Galatasaray SK,83,82,81,74,80,31,79,30500000,31,190
N. Aké,Nathan Aké,"CB,LB",Manchester City,83,76,53,72,75,84,77,30500000,29,180
Nuno Mendes,Nuno Alexandre Tavares Mendes,LB,Paris Saint-Germain,83,92,58,76,82,78,76,49500000,22,180
P. Hincapié,Piero Hincapié,"CB,LB",Bayer 04 Leverkusen,83,83,40,65,73,83,80,47500000,22,184
Palhinha,João Maria Palhinha Gonçalves,"CDM,CM",Bayern München,83,52,68,70,72,84,86,32000000,28,190
Pedro Gonçalves,Pedro António Pereira Gonçalves,"LW,CAM,CM",Sporting CP,83,77,82,83,84,63,68,43000000,26,173
R. Andrich,Robert Andrich,"CDM,CM,CB",Bayer 04 Leverkusen,83,54,77,76,73,83,83,31000000,29,186
R. Le Normand,Robin Le Normand,CB,Atlético Madrid,83,68,28,59,63,84,80,38500000,27,187
R. Lukaku,Romelu Lukaku,ST,SSC Napoli,83,79,82,73,75,41,82,30500000,31,191
Rafa,Rafael A. Ferreira Silva,"CAM,ST",Beşiktaş JK,83,93,76,77,86,48,54,30000000,31,172
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM,RM",Botafogo,83,88,77,83,84,35,72,36500000,28,177
S. Lobotka,Stanislav Lobotka,"CM,CDM",SSC Napoli,83,72,69,80,82,75,75,35500000,29,170
S. de Vrij,Stefan de Vrij,CB,Inter Milan,83,62,41,66,69,85,76,23500000,32,189
Sancet,Oihan Sancet Tirapu,"CAM,CM,ST",Athletic Club,83,76,81,79,84,68,82,55000000,24,188
T. Partey,Thomas Partey,"CDM,CM,RB",Arsenal FC,83,62,71,80,77,80,82,25500000,31,185
Vivian,Daniel Vivian Moreno,CB,Athletic Club,83,80,50,62,70,84,83,47000000,24,183
W. Orban,Willi Orban,CB,RB Leipzig,83,58,36,56,56,85,78,25000000,31,186
W. Pacho,Willian Pacho,CB,Paris Saint-Germain,83,80,33,60,61,83,84,50500000,22,188
Y. En-Nesyri,Youssef En-Nesyri,ST,Fenerbahçe SK,83,80,82,65,75,36,80,39500000,27,188
Y. Tielemans,Youri Tielemans,"CM,CDM,CAM",Aston Villa,83,54,80,84,80,72,76,38500000,27,176
Á. Di María,Ángel Di María,"RW,RM",SL Benfica,83,74,80,85,87,48,65,12000000,36,180
A. Christensen,Andreas Christensen,"CB,CDM",FC Barcelona,82,66,32,68,71,84,75,29000000,28,187
A. Mitrović,Aleksandar Mitrović,ST,Al Hilal,82,58,82,62,71,28,86,30500000,29,189
A. Robertson,Andrew Robertson,LB,Liverpool FC,82,77,61,80,78,79,76,26500000,30,178
A. Robinson,Antonee Robinson,LB,Fulham FC,82,88,46,75,78,78,80,33000000,26,183
A. Sørloth,Alexander Sørloth,ST,Atlético Madrid,82,77,82,70,75,36,85,31000000,28,195
Anderson Talisca,Anderson Souza Conceição,"CAM,ST,RW",Fenerbahçe SK,82,78,86,80,82,45,74,29500000,30,191
B. Mbeumo,Bryan Mbeumo,"RW,RM,ST",Brentford,82,88,82,77,83,49,76,39500000,24,171
Brahim,Brahim Díaz,"CAM,RW,LW",Real Madrid,82,85,74,78,85,31,59,43500000,24,170
C. Immobile,Ciro Immobile,ST,Beşiktaş JK,82,82,81,67,78,39,73,15000000,34,185
C. Nkunku,Christopher Nkunku,"CAM,LM,ST",Chelsea FC,82,78,81,80,84,45,63,33500000,26,177
D. Berardi,Domenico Berardi,"RW,RM",Sassuolo,82,78,80,78,84,36,70,30000000,29,183
D. Frattesi,Davide Frattesi,"CM,CAM",Inter Milan,82,83,77,78,83,73,75,43500000,24,178
D. Hancko,Dávid Hancko,"CB,LB",Feyenoord,82,76,66,73,74,82,81,33500000,26,188
D. Szoboszlai,Dominik Szoboszlai,"CAM,CM",Liverpool FC,82,82,81,83,82,66,74,43500000,23,186
D. Sánchez,Davinson Sánchez,CB,Galatasaray SK,82,80,48,64,74,82,85,26500000,28,187
D. Tadić,Dušan Tadić,"CAM,LW,RW",Fenerbahçe SK,82,67,79,86,82,43,78,12500000,35,181
D. Zapata,Duván Zapata,ST,Torino FC,82,73,81,64,77,35,88,19500000,33,188
Douglas Luiz,Douglas Luiz Soares de Paulo,"CM,CDM",Juventus FC,82,68,76,85,80,75,76,35500000,26,175
E. Can,Emre Can,"CB,CDM",Borussia Dortmund,82,75,76,72,74,81,85,25000000,30,186
E. Džeko,Edin Džeko,ST,Fenerbahçe SK,82,57,82,74,77,40,76,10500000,38,193
E. Konsa,Ezri Konsa,"CB,RB",Aston Villa,82,78,51,73,76,83,78,31500000,26,183
E. Tapsoba,Edmond Tapsoba,CB,Bayer 04 Leverkusen,82,75,54,67,70,84,79,34000000,25,192
F. Chiesa,Federico Chiesa,"RM,LM,ST",Liverpool FC,82,88,80,76,84,52,71,33500000,26,175
F. Mendy,Ferland Mendy,LB,Real Madrid,82,88,64,75,76,78,84,27000000,29,180
F. Schär,Fabian Schär,CB,Newcastle United,82,51,69,77,74,84,80,20000000,32,188
F. Tomori,Fikayo Tomori,CB,AC Milan,82,81,40,60,68,82,80,35500000,26,185
Gabriel Martinelli,Gabriel Teodoro Martinelli Silva,"LW,LM",Arsenal FC,82,91,77,75,84,46,72,41500000,23,178
Gayà,José Luís Gayà Peña,LB,Valencia CF,82,81,61,77,79,78,74,27000000,29,172
J. Bowen,Jarrod Bowen,"RM,ST",West Ham United,82,77,81,76,81,46,70,32500000,27,175
J. Brandt,Julian Brandt,"CAM,LM,CM",Borussia Dortmund,82,73,78,83,84,48,70,30500000,28,185
J. David,Jonathan David,ST,Lille OSC,82,82,82,71,80,34,77,42000000,24,178
J. Timber,Jurriën Timber,"RB,LB,CB",Arsenal FC,82,78,48,73,78,81,80,40500000,23,179
Joelinton,Joelinton Apolinário de Lira,"CM,LW",Newcastle United,82,76,73,77,81,82,90,32000000,27,186
K. Havertz,Kai Havertz,"ST,CM",Arsenal FC,82,77,79,79,82,48,74,38500000,25,193
K. Koulibaly,Kalidou Koulibaly,CB,Al Hilal,82,76,48,62,66,82,84,14500000,33,186
K. Mitoma,Kaoru Mitoma,LM,Brighton & Hove Albion,82,88,73,76,86,57,64,32500000,27,178
K. Walker,Kyle Walker,RB,AC Milan,82,86,64,76,77,78,80,11000000,34,183
Koke,Jorge Resurrección,"CM,CDM",Atlético Madrid,82,64,72,83,79,76,78,24000000,32,176
L. Hernández,Lucas Hernández,"CB,LB",Paris Saint-Germain,82,74,54,72,71,83,78,26500000,28,184
M. Brozović,Marcelo Brozović,"CDM,CM",Al Nassr,82,66,74,79,80,80,80,21500000,31,181
M. Depay,Memphis Depay,"ST,LW",,82,79,83,80,83,31,79,0,30,178
M. Greenwood,Mason Greenwood,"CAM,RM,ST",Olympique de Marseille,82,83,82,77,83,37,61,44500000,22,181
M. Guendouzi,Mattéo Guendouzi,"CDM,CM",SS Lazio,82,72,71,79,80,77,81,36500000,25,185
M. Hjulmand,Morten Hjulmand,"CDM,CM",Sporting CP,82,70,76,78,77,79,84,38500000,25,185
M. Sabitzer,Marcel Sabitzer,"CDM,CAM,CM",Borussia Dortmund,82,72,81,81,80,75,78,25500000,30,178
Malcom,Malcom Filipe Silva de Oliveira,"CAM,RM",Al Hilal,82,88,79,80,84,43,73,32500000,27,172
Nacho Fernández,José Ignacio Fernández Iglesias,"CB,LB,RB",Al Qadsiah FC,82,73,37,68,71,82,79,10000000,34,180
Otávio,Otávio Edmilson da Silva Monteiro,"CAM,CM,RM",Al Nassr,82,78,71,82,85,70,75,30000000,29,171
Oyarzabal,Mikel Oyarzabal Ugarte,"ST,LM",Real Sociedad,82,77,83,81,82,42,65,33000000,27,181
P. Aubameyang,Pierre-Emerick Aubameyang,ST,Al Qadsiah FC,82,84,83,72,78,35,63,13000000,35,187
P. Zieliński,Piotr Zieliński,"CM,CDM",Inter Milan,82,78,76,81,83,70,63,29000000,30,180
Parejo,Daniel Parejo Muñoz,"CM,CDM",Villarreal CF,82,52,80,87,78,74,68,12000000,35,182
Pedro Porro,Pedro Antonio Porro Sauceda,RB,Tottenham Hotspur,82,82,73,81,81,77,77,38500000,24,173
R. James,Reece James,RB,Chelsea FC,82,78,72,83,82,82,82,36500000,24,180
S. Botman,Sven Botman,CB,Newcastle United,82,59,37,62,65,83,82,37000000,24,193
S. Gnabry,Serge Gnabry,"RM,LM,ST",Bayern München,82,80,83,78,84,43,66,30500000,28,176
Savinho,Sávio Moreira de Oliveira,"RW,LW",Manchester City,82,88,71,78,85,30,53,45000000,20,176
T. Koopmeiners,Teun Koopmeiners,"CM,CAM",Juventus FC,82,68,77,83,77,75,78,35500000,26,183
T. Kubo,Takefusa Kubo,"RM,RW",Real Sociedad,82,86,77,78,85,40,64,43500000,23,173
V. Boniface,Victor Boniface,ST,Bayer 04 Leverkusen,82,73,83,66,80,38,82,46500000,23,190
W. Anton,Waldemar Anton,CB,Borussia Dortmund,82,68,47,66,66,84,83,28000000,27,189
Y. Carrasco,Yannick Carrasco,"LW,LM",Al Shabab,82,87,81,79,85,59,67,29500000,30,181
Zubimendi,Martín Zubimendi Ibáñez,"CDM,CM",Real Sociedad,82,67,67,78,79,80,73,38500000,25,180
Álex Baena,Alejandro Baena Rodríguez,"LM,ST,LW",Villarreal CF,82,79,75,82,80,65,68,47000000,22,175
Álex Berenguer,Alejandro Berenguer Remiro,"LM,RM,CAM",Athletic Club,82,85,77,79,84,65,69,30500000,28,175
A. Budimir,Ante Budimir,ST,CA Osasuna,81,62,81,58,76,35,80,21000000,32,190
A. Buongiorno,Alessandro Buongiorno,CB,SSC Napoli,81,69,45,67,65,84,77,34000000,25,190
A. Kramarić,Andrej Kramarić,"CAM,CM",TSG 1899 Hoffenheim,81,69,82,78,84,33,73,16000000,33,177
A. Stiller,Angelo Stiller,"CDM,CM",VfB Stuttgart,81,58,58,81,81,75,70,32000000,23,183
A. Zambo Anguissa,André-Franck Zambo Anguissa,"CM,CDM",SSC Napoli,81,75,73,74,79,78,88,25500000,28,184
Ayoze,Ayoze Pérez Gutiérrez,"LM,ST,CAM",Villarreal CF,81,78,79,78,83,58,67,25000000,30,178
B. Henrichs,Benjamin Henrichs,"RB,RM,LB",RB Leipzig,81,74,54,77,78,79,74,25000000,27,185
Brais Méndez,Brais Méndez Portela,"CM,RM,CAM",Real Sociedad,81,71,80,82,81,65,73,27500000,27,187
C. De Ketelaere,Charles De Ketelaere,"CAM,ST",Atalanta BC,81,70,78,80,83,55,71,37000000,23,192
C. Gallagher,Conor Gallagher,"CM,LM",Atlético Madrid,81,75,76,79,79,79,84,38500000,24,182
C. Smalling,Chris Smalling,CB,Al Fayha,81,52,47,57,60,84,77,8500000,34,194
C. Wood,Chris Wood,ST,Nottingham Forest,81,53,82,67,71,40,81,21000000,32,191
Casemiro,Carlos Henrique Venancio Casimiro,"CDM,CM",Manchester United,81,38,74,76,69,79,79,17000000,32,185
D. Doué,Désiré Doué,"LW,RW,CM",Paris Saint-Germain,81,83,75,77,86,55,69,55500000,19,181
D. Lukébakio,Dodi Lukébakio,"RM,RW,ST",Sevilla FC,81,87,81,74,83,31,64,28000000,26,187
D. Raum,David Raum,"LB,LM",RB Leipzig,81,85,61,81,78,73,78,27500000,26,181
