선수명,팀,포지션,생년월일,키cm,몸무게kg,경기,타석,타수,득점,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살,도루,도루실패,타율,출루율,장타율,OPS
김태군,KIA,포수,1989-12-30,182,92,100,274,236,20,61,10,1,5,31,17,10,20,9,0,0,0.258,0.331,0.373,0.704
황성빈,롯데,,,,,79,273,246,43,63,4,4,1,22,18,4,46,3,25,4,0.256,0.315,0.317,0.632
리베라토,한화,,,,,62,273,246,41,77,18,2,10,39,23,0,47,3,1,0,0.313,0.366,0.524,0.890
한태양,롯데,,,,,108,267,230,42,63,14,2,2,22,32,2,69,3,3,2,0.274,0.367,0.378,0.745
김민성,롯데,내야수,1988-12-17,181,94,96,254,214,25,52,13,0,3,35,33,4,48,7,0,1,0.243,0.353,0.346,0.699
이원석,한화,외야수,1999-03-31,177,80,129,248,212,60,43,7,0,4,24,23,4,51,4,22,3,0.203,0.290,0.292,0.582
김민석,두산,외야수,2004-05-09,185,83,95,247,228,21,52,7,3,1,21,12,2,62,3,3,2,0.228,0.269,0.298,0.567
김기연,두산,포수,1997-09-07,178,106,100,245,219,19,54,9,0,2,24,19,1,44,8,1,0,0.247,0.307,0.315,0.622
박병호,삼성,,,,,77,232,196,26,39,5,0,15,33,27,7,70,5,0,0,0.199,0.315,0.454,0.769
오태곤,SSG,외야수,1991-11-18,186,88,122,229,194,31,39,6,0,5,26,30,1,59,4,25,8,0.201,0.310,0.309,0.619
김인태,두산,외야수,1994-07-03,178,78,106,225,183,17,39,10,1,3,25,36,5,57,2,0,1,0.213,0.356,0.328,0.684
김규성,KIA,내야수,1997-03-08,185,88,133,222,193,30,45,4,0,3,16,21,2,49,1,5,2,0.233,0.313,0.301,0.614
이지영,SSG,포수,1986-02-27,177,88,76,216,197,13,47,6,1,3,18,11,2,22,8,2,1,0.239,0.283,0.325,0.608
홍창기,LG,,,,,51,215,174,32,50,4,0,1,16,29,6,40,4,3,0,0.287,0.399,0.328,0.727
문상철,KT,내야수,1991-04-06,184,85,79,209,173,22,37,6,1,5,20,25,5,44,3,1,1,0.214,0.325,0.347,0.672
전태현,키움,내야수,2006-03-02,180,82,77,207,182,20,42,5,0,0,10,20,0,59,2,4,0,0.231,0.304,0.258,0.562
박승규,삼성,외야수,2000-09-02,178,78,64,200,174,39,50,5,0,6,14,21,4,43,2,5,4,0.287,0.377,0.420,0.797
정훈,롯데,,,,,77,200,185,14,40,11,0,2,11,10,3,40,4,0,0,0.216,0.268,0.308,0.576
천성호,LG,내야수,1997-10-30,183,85,83,199,173,24,41,9,2,1,17,17,5,29,2,3,1,0.237,0.323,0.329,0.652
양도근,삼성,,,,,116,198,166,23,43,5,0,0,16,18,2,41,3,5,1,0.259,0.337,0.289,0.626
박계범,두산,,,,,94,198,175,23,46,9,2,1,27,14,1,45,4,3,1,0.263,0.319,0.354,0.673
안치홍,한화,,,,,66,196,174,9,30,4,0,2,18,16,1,39,4,3,0,0.172,0.245,0.230,0.475
최준우,SSG,외야수,1999-03-25,175,78,78,192,152,17,29,0,0,3,22,30,3,47,3,2,0,0.191,0.328,0.250,0.578
김헌곤,삼성,외야수,1988-11-09,174,81,77,191,173,21,39,6,0,2,11,11,4,29,4,2,1,0.225,0.286,0.295,0.581
오윤석,KT,내야수,1992-02-24,180,87,77,184,156,30,40,8,1,0,19,12,7,41,4,0,0,0.256,0.335,0.321,0.656
오영수,NC,내야수,2000-01-30,178,93,67,179,155,14,36,5,0,3,23,22,2,47,0,3,2,0.232,0.335,0.323,0.658
주성원,키움,외야수,2000-08-30,182,95,58,174,156,21,39,6,0,1,12,13,4,45,2,4,0,0.250,0.322,0.308,0.630
푸이그,키움,,,,,40,172,156,17,33,2,0,6,20,12,4,38,1,0,0,0.212,0.285,0.340,0.625
스티븐슨,KT,,,,,39,168,149,26,39,12,0,3,14,14,4,43,2,2,0,0.262,0.341,0.403,0.744
송찬의,LG,외야수,1999-02-20,182,80,66,166,147,18,31,9,1,3,20,9,8,49,4,2,2,0.211,0.291,0.347,0.638
오선진,키움,내야수,1989-07-07,178,80,99,163,143,15,34,8,0,1,19,12,3,45,2,0,0,0.238,0.308,0.315,0.623
윤도현,KIA,내야수,2003-05-07,181,84,40,160,149,24,41,7,2,6,17,8,1,36,1,2,1,0.275,0.316,0.470,0.786
최인호,한화,외야수,2000-01-30,178,82,78,159,139,7,36,9,0,2,19,13,5,29,5,1,0,0.259,0.342,0.367,0.709
장진혁,KT,외야수,1993-09-30,184,90,86,157,139,19,29,3,1,4,19,13,0,46,1,1,0,0.209,0.275,0.331,0.606
이주헌,LG,포수,2003-03-04,185,92,76,156,128,22,28,3,0,4,9,18,8,30,2,0,0,0.219,0.351,0.336,0.687
최정원,NC,내야수,2000-06-24,176,70,91,155,120,40,33,3,0,0,11,18,12,22,0,30,6,0.275,0.417,0.300,0.717
이성규,삼성,외야수,1993-08-03,178,82,68,154,126,17,25,5,1,6,21,15,10,52,3,2,2,0.198,0.327,0.397,0.724
장준원,KT,내야수,1995-11-21,183,77,73,154,140,10,29,3,0,1,11,8,0,27,5,0,0,0.207,0.248,0.250,0.498
변우혁,KIA,내야수,2000-03-18,185,100,47,153,142,11,31,7,0,0,17,10,1,47,3,0,0,0.218,0.275,0.268,0.543
이호준,롯데,내야수,2004-03-20,172,72,99,153,132,20,32,7,4,3,23,14,3,33,3,1,0,0.242,0.327,0.424,0.751
정보근,롯데,포수,1999-08-31,175,94,93,152,129,4,24,4,1,1,15,18,1,39,4,0,0,0.186,0.291,0.256,0.547
이재원,한화,포수,1988-02-24,185,98,98,151,125,4,25,2,1,1,12,14,1,23,3,1,1,0.200,0.280,0.256,0.536
이정훈,KT,외야수,1994-12-07,185,90,59,148,132,20,34,4,0,4,14,13,3,48,4,0,1,0.258,0.338,0.379,0.717
박찬형,롯데,내야수,2002-10-17,175,78,48,148,129,21,44,8,2,3,19,11,7,26,1,1,1,0.341,0.419,0.504,0.923
안재석,두산,내야수,2002-02-15,185,75,35,147,135,25,43,16,1,4,20,11,0,27,3,2,1,0.319,0.370,0.541,0.911
조수행,두산,외야수,1993-08-30,178,73,108,140,119,30,29,4,0,0,9,14,0,29,1,30,7,0.244,0.323,0.277,0.600
임병욱,키움,외야수,1995-09-30,187,94,52,140,133,12,31,4,3,2,13,5,0,33,3,1,0,0.233,0.259,0.353,0.612
한석현,NC,외야수,1994-05-17,181,73,61,138,113,18,22,5,0,3,21,12,7,27,1,1,1,0.195,0.306,0.319,0.625
김성현,SSG,내야수,1987-03-09,172,72,59,137,115,15,25,3,0,1,11,16,1,20,4,1,1,0.217,0.316,0.270,0.586
김석환,KIA,외야수,1999-02-28,187,97,47,134,117,14,31,1,2,2,16,14,2,55,0,0,0,0.265,0.351,0.359,0.710
김성욱,SSG,외야수,1993-05-01,181,83,56,132,123,10,24,6,0,2,13,7,1,35,2,1,2,0.195,0.244,0.293,0.537
김재현,키움,포수,1993-03-18,178,90,62,128,120,12,25,5,0,0,5,1,3,31,1,1,0,0.208,0.234,0.250,0.484
박준영,두산,,,,,41,126,111,9,25,8,0,1,10,10,3,32,1,3,0,0.225,0.304,0.324,0.628
고종욱,KIA,외야수,1989-01-11,184,83,46,123,115,13,34,2,0,3,16,5,0,17,2,2,1,0.296,0.317,0.391,0.708
김도영,KIA,내야수,2003-10-02,183,85,30,122,110,20,34,9,0,7,27,10,0,23,3,3,0,0.309,0.361,0.582,0.943
최원영,LG,외야수,2003-07-18,174,76,119,115,103,37,29,5,0,0,2,4,4,20,4,8,4,0.282,0.330,0.330,0.660
김동혁,롯데,외야수,2000-09-15,177,77,93,114,89,19,20,4,1,0,6,18,3,26,3,13,4,0.225,0.373,0.292,0.665
이창진,KIA,외야수,1991-03-04,173,85,37,113,93,11,15,3,0,1,9,16,2,22,2,0,2,0.161,0.295,0.226,0.521
박민,KIA,내야수,2001-06-05,184,84,71,105,94,11,19,5,0,1,6,5,3,33,1,1,0,0.202,0.265,0.287,0.552
류효승,SSG,외야수,1996-07-16,190,100,27,103,94,18,27,5,0,6,16,7,2,28,1,0,1,0.287,0.350,0.532,0.882
김동준,두산,내야수,2002-09-04,193,100,36,100,93,8,22,3,0,2,10,5,1,30,2,1,1,0.237,0.283,0.333,0.616
김태훈,삼성,투수,1992-03-02,187,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
도태훈,NC,내야수,1993-03-18,184,85,61,98,77,9,14,4,1,1,8,7,8,16,2,3,0,0.182,0.315,0.299,0.614
전병우,삼성,내야수,1992-10-24,182,93,59,97,77,11,21,2,0,1,13,19,1,27,3,1,0,0.273,0.423,0.338,0.761
박세혁,NC,,,,,48,93,86,8,14,3,0,2,10,5,1,28,4,1,0,0.163,0.215,0.267,0.482
스톤,키움,,,,,22,93,87,4,21,0,0,2,15,5,0,24,2,0,0,0.241,0.280,0.310,0.590
박승욱,롯데,내야수,1992-12-04,184,83,54,92,84,10,16,3,0,0,5,5,1,30,0,1,1,0.190,0.244,0.226,0.470
김동헌,키움,포수,2004-07-15,182,91,49,91,82,8,22,3,0,0,8,7,1,23,0,0,0,0.268,0.330,0.305,0.635
조대현,KT,포수,1999-08-06,183,81,64,90,75,7,14,4,0,0,11,7,2,22,0,0,0,0.187,0.274,0.240,0.514
임종성,두산,내야수,2005-03-03,183,90,33,89,83,7,23,4,0,2,11,3,1,26,1,1,0,0.277,0.307,0.398,0.705
추재현,두산,,,,,34,87,81,7,18,3,1,1,7,3,1,17,2,0,0,0.222,0.259,0.321,0.580
송지후,키움,내야수,2005-01-08,175,74,33,86,80,5,14,3,0,1,8,3,2,18,3,0,1,0.175,0.221,0.250,0.471
홍종표,NC,내야수,2000-05-02,178,72,62,85,73,16,12,0,0,0,3,7,0,23,1,1,2,0.164,0.235,0.164,0.399
이형종,키움,외야수,1989-06-07,183,87,33,82,70,4,14,3,0,2,6,9,1,22,3,1,0,0.200,0.300,0.329,0.629
맥브룸,SSG,,,,,22,80,74,8,15,3,0,4,11,5,1,28,2,0,0,0.203,0.263,0.405,0.668
강현우,KT,포수,2001-04-13,180,90,40,78,64,5,12,1,0,1,8,10,0,14,1,0,0,0.188,0.293,0.250,0.543
김찬형,SSG,,,,,44,78,73,4,13,2,0,0,5,3,1,13,3,0,0,0.178,0.221,0.205,0.426
박정우,KIA,외야수,1998-02-01,175,68,53,75,62,17,17,2,0,0,4,10,3,12,1,2,1,0.274,0.400,0.306,0.706
이영빈,LG,내야수,2002-06-17,182,82,44,75,72,12,15,1,1,3,9,1,0,35,1,1,0,0.208,0.216,0.375,0.591
이호연,KT,,,,,32,75,70,8,24,7,0,1,8,3,1,14,2,0,0,0.343,0.378,0.486,0.864
김재성,삼성,포수,1996-10-30,185,85,43,73,63,3,8,2,0,0,4,6,2,23,0,0,0,0.127,0.222,0.159,0.381
김한별,NC,내야수,2001-01-18,177,85,76,72,64,14,20,2,0,0,5,3,3,5,2,1,0,0.313,0.371,0.344,0.715
박재현,KIA,외야수,2006-12-08,180,73,58,69,62,11,5,1,0,0,3,6,0,26,0,4,3,0.081,0.159,0.097,0.256
노진혁,롯데,내야수,1989-07-15,184,80,28,69,63,11,17,1,2,1,5,5,1,20,0,0,0,0.270,0.333,0.397,0.730
손성빈,롯데,포수,2002-01-14,186,92,51,69,62,6,9,0,0,1,3,4,1,20,1,0,0,0.145,0.209,0.194,0.403
박지환,SSG,,,,,31,68,60,3,9,0,0,0,4,4,0,19,1,0,1,0.150,0.200,0.150,0.350
현원회,SSG,내야수,2001-07-08,180,95,21,62,59,6,18,1,0,1,6,3,0,16,3,0,0,0.305,0.339,0.373,0.712
하재훈,SSG,,,,,18,61,56,6,8,0,0,3,8,4,0,21,1,1,2,0.143,0.197,0.304,0.501
여동욱,키움,내야수,2005-11-10,180,90,28,61,53,6,7,1,0,2,2,7,0,21,2,0,0,0.132,0.233,0.264,0.497
박시원,NC,외야수,2001-05-30,185,85,52,60,54,12,11,2,0,1,4,5,0,18,1,1,0,0.204,0.271,0.296,0.567
안중열,NC,포수,1995-09-01,176,87,33,60,49,2,7,3,0,0,6,8,2,15,0,0,0,0.143,0.288,0.204,0.492
이병헌,삼성,포수,1999-10-26,180,87,55,59,55,5,11,3,0,1,7,3,1,13,1,0,0,0.200,0.254,0.309,0.563
박관우,LG,,,,,39,58,53,12,14,2,0,2,13,3,1,11,1,0,0,0.264,0.310,0.415,0.725
황대인,KIA,,,,,18,57,53,3,10,3,0,1,8,3,0,14,0,0,0,0.189,0.228,0.302,0.530
안치영,KT,외야수,1998-05-29,176,72,47,56,44,9,10,1,0,1,6,4,3,13,1,0,2,0.227,0.327,0.318,0.645
박지훈,두산,내야수,2000-09-07,183,80,37,55,48,11,20,4,0,1,8,5,1,12,1,1,0,0.417,0.481,0.563,1.044
석정우,SSG,내야수,1999-01-20,180,82,27,54,49,3,13,1,0,2,4,4,1,18,1,0,0,0.265,0.333,0.408,0.741
원성준,키움,외야수,2000-03-31,181,80,24,53,46,5,8,1,0,2,4,7,0,18,1,0,0,0.174,0.283,0.326,0.609
채현우,SSG,외야수,1995-11-21,182,80,41,52,48,8,9,1,1,1,9,3,0,13,1,2,0,0.188,0.231,0.313,0.544
정해원,KIA,외야수,2004-05-21,185,87,24,46,40,5,3,0,0,0,0,5,1,14,4,0,0,0.075,0.196,0.075,0.271
윤정빈,삼성,외야수,1999-06-24,182,93,25,46,40,3,7,1,0,0,3,4,0,18,1,0,0,0.175,0.239,0.200,0.439
박수종,키움,외야수,1999-02-25,178,82,38,45,42,6,6,0,0,1,2,3,0,12,0,1,0,0.143,0.200,0.214,0.414
심재훈,삼성,내야수,2006-03-03,180,80,31,43,38,8,7,0,0,0,2,4,0,13,0,3,1,0.184,0.262,0.184,0.446
유준규,KT,외야수,2002-08-16,176,69,35,41,34,13,4,2,0,0,3,7,0,13,0,2,1,0.118,0.268,0.176,0.444
이용규,키움,,,,,14,41,37,7,8,1,0,0,0,3,0,8,1,1,0,0.216,0.275,0.243,0.518
신범수,SSG,포수,1998-01-25,177,83,29,39,33,1,6,1,0,1,3,5,1,7,0,0,0,0.182,0.308,0.303,0.611
홍현빈,삼성,,,,,32,38,32,8,4,2,0,0,0,3,1,8,0,0,0,0.125,0.222,0.188,0.410
김대한,두산,외야수,2000-12-06,185,83,16,37,36,1,7,0,0,1,5,1,0,6,0,0,1,0.194,0.216,0.278,0.494
함창건,LG,외야수,2001-08-18,176,83,15,36,32,2,6,2,0,0,2,3,0,9,1,0,0,0.188,0.250,0.250,0.500
강민성,KT,내야수,1999-12-08,180,85,25,36,30,0,1,0,0,0,1,5,0,15,1,0,0,0.033,0.167,0.033,0.200
임종찬,한화,외야수,2001-09-28,184,85,17,35,30,2,5,1,0,1,2,5,0,13,0,2,0,0.167,0.286,0.300,0.586
문정빈,LG,내야수,2003-08-15,186,90,21,33,30,5,5,0,0,2,4,1,2,11,0,0,0,0.167,0.242,0.367,0.609
한재환,NC,내야수,2001-10-19,177,89,16,31,27,2,5,0,0,0,4,2,2,14,0,0,0,0.185,0.290,0.185,0.475
