선수명,팀,생년월일,키cm,몸무게kg,ERA,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,탈삼진,실점,자책점,WHIP
최민준,SSG,1999-06-11,178,83,3.97,40,2,2,0,1,0.500,65 2/3,72,6,24,3,44,34,29,1.46
이승민,삼성,2000-08-26,174,79,3.78,62,3,2,0,8,0.600,64 1/3,61,5,26,3,53,37,27,1.35
한승혁,한화,,,,2.25,71,3,3,3,16,0.500,64,56,4,23,7,53,18,16,1.23
김민,SSG,1999-04-14,185,88,2.97,70,5,2,1,22,0.714,63 2/3,60,7,17,6,65,23,21,1.21
김종수,한화,1994-06-03,180,88,3.25,63,4,5,0,5,0.444,63 2/3,57,5,36,4,59,30,23,1.46
송영진,SSG,,,,5.83,21,2,5,0,0,0.286,63 1/3,77,10,31,3,40,45,41,1.71
양창섭,삼성,1999-09-22,182,85,3.43,33,3,3,0,2,0.500,63,67,3,19,9,45,29,24,1.37
박치국,두산,1998-03-10,177,78,3.75,73,4,4,2,16,0.500,62 1/3,58,4,21,7,57,35,26,1.27
정해영,KIA,2001-08-23,189,98,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51
패트릭,KT,,,,3.12,15,3,3,0,2,0.500,60 2/3,63,2,21,2,45,26,21,1.38
김원중,롯데,1993-06-14,192,96,2.67,53,4,3,32,0,0.571,60 2/3,58,4,33,2,69,21,18,1.50
배재환,NC,1995-02-24,186,95,4.48,70,2,4,2,24,0.333,60 1/3,48,3,37,11,51,36,30,1.41
조상우,KIA,1994-09-04,186,97,3.90,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52
김영우,LG,2005-01-14,185,90,2.40,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32
박신지,두산,1999-07-16,185,75,2.85,54,2,4,0,5,0.333,60,55,3,29,5,36,24,19,1.40
조동욱,한화,2004-11-02,190,82,4.05,68,3,3,2,5,0.500,60,77,4,29,4,43,29,27,1.77
손동현,KT,2001-01-23,183,88,3.84,58,5,0,1,13,1.000,58 2/3,66,6,12,3,55,30,25,1.33
오석주,키움,1998-04-14,180,74,3.70,53,2,1,0,7,0.667,58 1/3,52,4,29,7,44,24,24,1.39
목지훈,NC,2004-05-11,181,83,6.05,16,3,5,0,0,0.375,58,68,6,42,5,45,42,39,1.90
김재윤,삼성,1990-09-16,185,91,4.99,63,4,7,13,3,0.364,57 2/3,57,10,13,1,43,34,32,1.21
원상현,KT,2004-10-16,183,83,5.21,52,0,3,0,14,0.000,57,56,8,35,1,45,35,33,1.60
황준서,한화,2005-08-22,185,78,5.30,23,2,8,0,0,0.200,56,54,7,26,2,57,37,33,1.43
이호성,삼성,2004-08-14,184,87,6.34,58,7,4,9,3,0.636,55 1/3,54,7,29,2,69,44,39,1.50
최준용,롯데,2001-10-10,185,85,5.30,49,4,4,1,17,0.500,54 1/3,50,5,16,6,62,35,32,1.21
원종현,키움,1987-07-31,182,88,6.13,61,2,4,5,11,0.333,54 1/3,68,5,18,3,40,42,37,1.58
정우주,한화,2006-11-07,184,88,2.85,51,3,0,0,3,1.000,53 2/3,34,6,21,10,82,18,17,1.02
최지민,KIA,2003-09-10,185,100,6.58,66,2,4,0,9,0.333,53 1/3,46,5,51,4,39,40,39,1.82
김민수,KT,1992-07-24,188,80,4.96,58,4,3,0,11,0.571,52 2/3,63,5,15,1,36,31,29,1.48
전영준,SSG,2002-04-16,190,100,4.61,34,1,5,0,0,0.167,52 2/3,48,5,26,5,55,28,27,1.41
성영탁,KIA,2004-07-28,180,89,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97
박시후,SSG,2001-05-10,182,88,3.27,52,6,2,0,3,0.750,52 1/3,45,5,29,5,34,24,19,1.41
박주성,키움,2000-11-09,181,90,6.58,18,2,3,0,1,0.400,52,63,9,16,3,26,40,38,1.52
손주환,NC,2002-01-05,177,85,4.35,52,6,1,0,7,0.857,51 2/3,53,5,19,1,37,29,25,1.39
김연주,키움,2004-02-27,175,75,6.62,20,1,3,0,0,0.250,51 2/3,67,10,25,6,28,40,38,1.78
박윤성,키움,2004-02-08,183,96,4.53,54,0,5,1,6,0.000,51 2/3,55,9,19,1,40,31,26,1.43
배찬승,삼성,2006-01-01,180,85,3.91,65,2,3,0,19,0.400,50 2/3,50,3,34,2,57,25,22,1.66
윤영철,KIA,2004-04-20,187,87,5.58,13,2,7,0,0,0.222,50,52,4,30,1,43,37,31,1.64
레예스,삼성,,,,4.14,10,4,3,0,0,0.571,50,51,5,12,3,35,26,23,1.26
장현식,LG,1995-02-24,181,91,4.35,56,3,3,10,5,0.500,49 2/3,65,4,21,5,38,27,24,1.73
김범수,한화,,,,2.25,73,2,1,2,6,0.667,48,30,0,22,4,41,17,12,1.08
정현수,롯데,2001-05-10,180,84,3.97,82,2,0,0,12,1.000,47 2/3,34,4,26,2,47,23,21,1.26
최성영,NC,1997-04-28,180,85,6.23,35,2,2,0,4,0.500,47 2/3,62,6,28,3,33,33,33,1.89
이지강,LG,1999-07-02,183,85,5.32,43,1,2,3,4,0.333,47 1/3,50,4,24,1,39,29,28,1.56
메르세데스,키움,,,,4.47,8,3,3,0,0,0.500,46 1/3,54,5,9,0,41,24,23,1.36
김건국,KIA,1988-02-02,183,86,6.85,26,0,3,0,1,0.000,46,59,11,17,5,31,38,35,1.65
반즈,롯데,,,,5.32,8,3,4,0,0,0.429,45 2/3,47,4,17,2,38,31,27,1.40
우규민,KT,1985-01-21,184,75,2.44,53,1,2,0,9,0.333,44 1/3,45,2,3,4,24,12,12,1.08
톨허스트,LG,1999-09-13,193,86,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25
김영규,NC,2000-02-10,188,86,2.86,45,4,3,0,21,0.571,44,40,3,18,3,35,17,14,1.32
주승우,키움,,,,2.45,42,2,2,16,5,0.500,44,35,7,17,2,35,13,12,1.18
이상동,KT,1995-11-24,181,88,2.49,41,3,0,0,5,1.000,43 1/3,31,4,9,2,34,12,12,0.92
주현상,한화,1992-08-10,177,92,5.18,48,5,2,1,3,0.714,41 2/3,59,8,10,3,37,25,24,1.66
유영찬,LG,1997-03-07,185,90,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32
주권,KT,1995-05-31,181,82,4.43,34,0,1,0,0,0.000,40 2/3,48,3,13,0,19,23,20,1.50
이의리,KIA,2002-06-16,185,90,7.94,10,1,4,0,0,0.200,39 2/3,41,6,31,3,42,37,35,1.82
박명근,LG,,,,4.89,44,3,4,4,10,0.429,38 2/3,36,5,16,5,30,21,21,1.34
윤석원,키움,2003-07-04,185,81,5.54,37,1,1,0,8,0.500,37 1/3,41,3,12,2,27,23,23,1.42
이준혁,NC,2003-06-30,184,87,7.30,25,1,3,0,0,0.250,37,43,8,20,6,30,33,30,1.70
김태혁,롯데,1988-01-02,180,88,6.38,45,0,1,2,3,0.000,36 2/3,48,4,18,3,27,26,26,1.80
한두솔,SSG,1997-01-15,177,86,4.95,44,2,0,1,3,1.000,36 1/3,46,1,19,1,27,22,20,1.79
황동하,KIA,,,,5.30,18,1,2,0,0,0.333,35 2/3,38,4,10,3,31,21,21,1.35
벨라스케즈,롯데,,,,8.23,11,1,4,0,0,0.200,35,47,7,18,3,28,32,32,1.86
이준영,KIA,1992-08-10,177,85,4.76,57,3,1,0,7,0.750,34,36,6,11,1,34,18,18,1.38
이정용,LG,1996-03-26,186,85,5.03,39,6,1,1,7,0.857,34,32,3,12,2,26,19,19,1.29
한재승,KIA,2001-11-21,180,90,6.48,36,1,1,1,1,0.500,33 1/3,40,5,31,1,35,29,24,2.13
홍민규,두산,,,,4.59,20,2,1,1,0,0.667,33 1/3,37,4,15,1,17,19,17,1.56
최지강,두산,2001-07-23,180,88,6.34,39,2,5,0,5,0.286,32 2/3,41,3,13,2,38,25,23,1.65
백정현,삼성,1987-07-13,184,80,1.95,29,2,0,1,3,1.000,32 1/3,19,1,7,2,31,7,7,0.80
홍민기,롯데,,,,3.09,25,0,2,0,3,0.000,32,24,0,11,2,39,13,11,1.09
백승현,LG,1995-05-26,183,90,3.90,33,1,0,0,2,1.000,30,28,2,28,1,27,13,13,1.87
최지명,LG,1995-01-22,186,97,5.28,13,0,1,0,2,0.000,29,35,3,14,1,21,17,17,1.69
육선엽,삼성,2005-07-13,190,90,5.34,27,0,1,0,1,0.000,28 2/3,23,4,24,0,19,21,17,1.64
문용익,KT,1995-02-04,178,93,3.14,20,1,0,0,0,1.000,28 2/3,21,3,19,0,31,11,10,1.40
김기훈,KIA,2000-01-03,184,93,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27
함덕주,LG,1995-01-13,181,78,6.00,31,2,3,0,1,0.400,27,14,1,18,0,26,19,18,1.19
배제성,KT,1996-09-29,189,85,5.67,8,2,3,0,0,0.400,27,38,2,11,0,23,17,17,1.81
김진욱,롯데,2002-07-05,185,90,10.00,14,1,3,0,0,0.250,27,42,10,16,2,24,32,30,2.15
송재영,롯데,2002-06-20,181,84,4.00,46,1,0,0,3,1.000,27,19,3,24,0,28,13,12,1.59
윤성빈,롯데,1999-02-26,197,90,7.67,31,1,2,0,0,0.333,27,26,3,20,4,44,23,23,1.70
박정수,두산,1996-01-29,178,74,4.10,29,1,0,0,3,1.000,26 1/3,31,1,8,4,15,13,12,1.48
김시훈,KIA,1999-02-24,188,95,8.06,24,1,0,0,1,1.000,25 2/3,33,7,10,0,18,25,23,1.68
김재열,NC,1996-01-02,183,97,6.23,22,0,0,0,2,-,21 2/3,32,5,16,1,16,16,15,2.22
윤현,키움,,,,8.59,17,2,1,0,0,0.667,22,31,2,23,5,15,28,21,2.45
김택형,SSG,1996-10-10,185,90,2.78,25,0,0,0,1,-,22 2/3,19,0,10,3,14,7,7,1.28
코엔 윈,LG,,,,7.04,5,1,1,0,0,0.500,23,28,4,4,5,8,19,18,1.39
박정훈,키움,2006-03-23,192,103,7.43,16,0,1,1,0,0.000,23,24,1,20,4,7,24,19,1.91
이준우,키움,2001-03-02,183,93,8.61,31,1,4,0,3,0.200,23,37,6,12,1,22,23,22,2.13
양재훈,두산,2003-05-01,186,89,4.24,19,0,0,1,0,-,23 1/3,19,3,8,0,19,11,11,1.16
김태형,KIA,2006-12-15,184,95,4.56,8,0,3,0,0,0.000,23 2/3,25,4,7,5,14,12,12,1.35
박기호,SSG,2005-07-26,184,80,3.00,18,0,0,0,2,-,24,23,3,12,8,13,10,8,1.46
이강준,키움,,,,6.57,29,0,3,0,2,0.000,24 2/3,29,3,17,2,26,22,18,1.86
김성민,키움,1994-04-26,181,90,4.68,29,0,3,0,1,0.000,25,25,1,13,5,18,15,13,1.52
김주온,LG,1996-12-08,187,89,27.00,1,0,1,0,0,0.000,1/3,0,0,2,2,1,1,1,6.00
데이비슨,NC,,,,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00
김대우,삼성,,,,0.00,2,0,0,0,1,-,2/3,1,0,0,0,0,0,0,1.50
김성민,SSG,2001-04-30,185,97,0.00,2,1,0,0,0,1.000,2/3,0,0,2,0,0,0,0,3.00
김정엽,KIA,2006-04-18,185,96,18.00,2,0,0,0,0,-,1,0,0,1,1,0,2,2,1.00
유지성,KIA,2000-11-15,189,94,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00
이상민,삼성,,,,0.00,1,0,0,0,0,-,1,2,0,0,0,1,0,0,2.00
정민성,삼성,2005-05-09,184,98,36.00,1,0,1,0,0,0.000,1,3,0,0,2,0,4,4,3.00
최성훈,삼성,,,,9.00,2,0,0,0,0,-,1,1,0,1,0,1,1,1,2.00
강백호,KT,,,,18.00,1,0,0,0,0,-,1,3,1,1,0,1,2,2,4.00
신지환,SSG,2006-04-17,180,81,0.00,1,0,0,0,0,-,1,0,0,0,1,1,0,0,0.00
도태훈,NC,1993-03-18,184,85,9.00,1,0,0,0,0,-,1,3,1,0,0,1,1,1,3.00
임상현,NC,,,,18.00,1,0,0,0,0,-,1,2,0,3,0,0,2,2,5.00
박시원,LG,2006-04-12,193,93,13.50,2,0,0,0,0,-,1 1/3,0,0,5,0,0,2,2,3.75
서진용,SSG,1992-10-02,184,88,6.75,2,0,0,0,0,-,1 1/3,1,0,3,0,0,1,1,3.00
홍원빈,KIA,,,,27.00,2,0,0,0,0,-,1 2/3,2,0,4,0,1,5,5,3.60
최충연,삼성,,,,37.80,4,0,0,0,0,-,1 2/3,7,1,2,1,1,8,7,5.40
김종운,LG,,,,5.40,2,0,0,0,0,-,1 2/3,2,2,0,0,2,3,1,1.20
이종준,LG,2001-03-09,191,93,0.00,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.60
최종인,두산,2001-05-01,185,84,5.40,3,0,0,0,0,-,1 2/3,1,0,3,0,5,1,1,2.40
한차현,KT,1998-11-30,180,80,16.20,2,0,0,0,0,-,1 2/3,4,0,2,0,1,3,3,3.60
원종혁,한화,2005-08-27,184,92,16.20,2,0,0,0,0,-,1 2/3,3,1,2,0,1,3,3,3.00
김민재,KIA,,,,0.00,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.00
유승철,KIA,1998-03-02,184,87,4.50,1,0,0,0,0,-,2,3,0,2,0,3,1,1,2.50
홍원표,삼성,,,,4.50,2,0,1,0,0,0.000,2,3,0,2,1,1,1,1,2.50
김한중,두산,2004-11-03,183,89,0.00,2,0,0,0,0,-,2,1,0,0,0,0,1,0,0.50
김태현,롯데,,,,4.50,1,0,0,0,0,-,2,1,0,4,0,2,2,1,2.50
이영재,롯데,2006-10-20,180,71,9.00,3,0,0,0,0,-,2,5,1,0,1,2,2,2,2.50
정성종,롯데,1995-11-16,181,93,3.86,2,0,0,0,0,-,2 1/3,3,1,0,0,0,1,1,1.29
이성원,KIA,2006-05-18,184,90,16.88,4,0,0,0,0,-,2 2/3,3,0,4,3,3,7,5,2.63
정우영,LG,1999-08-19,193,99,20.25,4,0,0,0,0,-,2 2/3,1,1,4,1,3,6,6,1.88
김승일,한화,2001-07-07,183,85,23.63,5,0,0,0,0,-,2 2/3,3,1,3,3,3,7,7,2.25
정세영,키움,2006-09-23,177,82,16.88,4,0,1,0,0,0.000,2 2/3,9,0,4,0,2,6,5,4.88
김민주,KIA,,,,12.00,3,0,0,0,0,-,3,4,0,2,2,2,4,4,2.00
장재혁,KIA,2001-08-02,180,86,6.00,3,0,0,0,0,-,3,3,1,3,0,2,2,2,2.00
심재민,롯데,,,,3.00,4,1,0,0,0,1.000,3,5,0,1,0,2,2,1,2.00
김태현,NC,1998-03-21,188,95,12.00,5,0,0,0,1,-,3,5,2,3,2,2,4,4,2.67
손현기,키움,,,,15.00,2,0,0,0,0,-,3,4,1,6,1,1,5,5,3.33
양현,삼성,1992-08-23,189,104,0.00,4,0,0,0,0,-,3 1/3,2,0,3,0,1,0,0,1.50
김동현,KT,2006-01-21,193,97,13.50,3,0,0,0,0,-,3 1/3,7,2,3,0,4,5,5,3.00
정우준,롯데,2000-03-17,180,82,5.40,3,0,0,0,0,-,3 1/3,6,0,0,1,3,2,2,1.80
강건,KT,2004-07-12,183,85,24.55,2,0,1,0,0,0.000,3 2/3,7,1,7,1,1,10,10,3.82
박세현,롯데,2006-01-21,183,88,14.73,3,0,0,0,0,-,3 2/3,8,1,1,1,4,6,6,2.45
임진묵,키움,2006-04-23,181,85,24.55,4,0,0,0,0,-,3 2/3,10,0,5,1,3,11,10,4.09
곽도규,KIA,2004-04-12,185,90,13.50,9,0,0,0,3,-,4,3,0,6,2,5,6,6,2.25
강재민,한화,1997-04-03,180,89,9.00,4,0,0,0,0,-,4,6,1,2,1,5,4,4,2.00
손힘찬,키움,,,,11.25,4,0,0,0,0,-,4,5,0,4,1,4,5,5,2.25
김유영,LG,1994-05-02,180,83,12.46,6,0,0,0,0,-,4 1/3,8,0,4,1,5,6,6,2.77
김재원,KT,,,,10.38,4,0,0,0,0,-,4 1/3,3,0,8,1,4,5,5,2.54
이정현,KT,1997-12-05,188,93,16.62,6,0,0,0,0,-,4 1/3,9,0,4,1,3,8,8,3.00
김민규,NC,,,,7.71,7,0,0,0,1,-,4 2/3,5,0,4,0,2,4,4,1.93
임지민,NC,2003-10-11,185,82,3.86,7,0,1,0,1,0.000,4 2/3,1,0,5,0,7,2,2,1.29
김진수,LG,1998-08-31,179,82,9.00,4,0,0,0,0,-,5,11,2,1,0,6,5,5,2.40
박준영,한화,2003-03-02,190,103,3.60,1,0,0,0,0,-,5,3,0,6,0,3,2,2,1.80
박진형,롯데,,,,8.44,7,0,0,0,0,-,5 1/3,9,1,3,0,5,7,5,2.25
권민규,한화,2006-05-13,188,90,8.44,5,0,0,0,0,-,5 1/3,5,1,7,0,4,5,5,2.25
하준영,NC,1999-09-06,182,79,6.75,10,1,1,0,1,0.500,5 1/3,10,0,7,0,5,4,4,3.19
김서준,키움,2006-12-22,187,83,20.25,4,0,0,0,0,-,5 1/3,14,2,5,0,4,12,12,3.56
송은범,삼성,,,,4.50,5,0,0,0,0,-,6,9,0,3,0,2,3,3,2.00
박건우,KT,2006-11-28,182,95,2.70,6,0,0,0,0,-,6 2/3,4,1,4,0,9,2,2,1.20
이재익,삼성,1994-03-18,180,76,1.23,7,1,0,0,0,1.000,7 1/3,8,0,2,0,6,1,1,1.36
박시영,롯데,1989-03-10,181,92,11.05,11,1,0,0,0,1.000,7 1/3,9,0,9,2,10,9,9,2.45
이교훈,두산,,,,1.17,10,1,0,0,0,1.000,7 2/3,4,0,4,1,7,2,1,1.04
소이현,NC,1999-02-09,185,93,5.63,7,0,0,0,0,-,8,5,0,7,1,3,5,5,1.50
김동규,키움,2004-07-09,194,100,6.75,9,0,0,0,0,-,8,13,2,11,0,10,11,6,3.00
김대유,KIA,1991-05-08,187,92,9.72,15,0,1,0,1,0.000,8 1/3,12,1,4,0,3,9,9,1.92
김명신,두산,1993-11-29,178,90,5.40,8,0,0,0,0,-,8 1/3,13,0,3,1,6,8,5,1.92
임준형,KT,2000-11-16,180,82,5.19,10,0,0,0,0,-,8 2/3,11,0,7,1,6,7,5,2.08
한현희,롯데,,,,6.23,3,0,0,0,1,-,8 2/3,13,2,2,1,8,6,6,1.73
임기영,KIA,,,,13.00,10,1,1,0,0,0.500,9,23,2,4,0,5,13,13,3.00
오승환,삼성,,,,8.00,12,0,0,0,0,-,9,15,1,3,0,7,8,8,2.00
이재희,삼성,2001-10-11,187,88,3.00,11,0,2,0,4,0.000,9,7,0,5,0,9,3,3,1.33
성동현,LG,1999-05-18,189,108,9.00,12,0,0,0,0,-,9,10,2,9,0,6,9,9,2.11
최용준,KT,,,,2.00,7,1,0,0,0,1.000,9,13,0,2,0,5,2,2,1.67
구승민,롯데,1990-06-12,182,86,7.00,11,0,1,0,1,0.000,9,9,1,7,1,10,10,7,1.78
이상규,한화,1996-10-20,185,77,8.00,5,0,1,0,0,0.000,9,16,0,4,0,5,9,8,2.22
우강훈,LG,2002-10-03,183,88,4.66,11,0,0,0,0,-,9 2/3,12,0,6,2,5,5,5,1.86
김민규,두산,1999-05-07,183,90,4.66,7,1,1,0,0,0.500,9 2/3,9,1,6,4,6,5,5,1.55
이형범,KIA,,,,11.70,12,0,0,0,0,-,10,21,0,5,0,6,16,13,2.60
윤중현,KIA,1995-04-25,180,84,4.35,13,1,0,0,0,1.000,10 1/3,10,2,7,0,7,5,5,1.65
김호준,두산,1998-05-17,180,82,6.75,19,0,1,0,1,0.000,10 2/3,14,2,7,0,7,11,8,1.97
김태경,NC,2001-04-07,188,95,10.64,6,0,0,0,1,-,11,18,4,9,2,10,20,13,2.45
이태양,한화,,,,3.97,14,0,1,0,0,0.000,11 1/3,14,0,5,1,8,5,5,1.68
